LAPS,TIME,GAP,INT.,KPH,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE,QUALI TYPE
12,1:14.143,-,-,209.659,1.0,4,N. de Vries,ART Grand Prix,Spielberg,Qualifying Session,17:22:29,Round 6 ,2019-06-30,Unique
12,1:14.309,0.166,0.166,209.191,2.0,19,A. Hubert,BWT Arden,Spielberg,Qualifying Session,17:14:40,Round 6 ,2019-06-30,Unique
12,1:14.371,0.228,0.062,209.016,3.0,7,G. Zhou,UNI-Virtuosi,Spielberg,Qualifying Session,17:22:35,Round 6 ,2019-06-30,Unique
12,1:14.399,0.256,0.028,208.938,4.0,2,N. Matsushita,Carlin,Spielberg,Qualifying Session,17:22:48,Round 6 ,2019-06-30,Unique
12,1:14.429,0.286,0.030,208.854,5.0,8,L. Ghiotto,UNI-Virtuosi,Spielberg,Qualifying Session,17:25:47,Round 6 ,2019-06-30,Unique
13,1:14.483,0.340,0.054,208.702,6.0,6,N. Latifi,DAMS,Spielberg,Qualifying Session,17:22:26,Round 6 ,2019-06-30,Unique
11,1:14.488,0.345,0.005,208.688,7.0,9,M. Schumacher,PREMA Racing,Spielberg,Qualifying Session,17:22:40,Round 6 ,2019-06-30,Unique
12,1:14.625,0.482,0.137,208.305,8.0,1,L. Delétraz,Carlin,Spielberg,Qualifying Session,17:22:38,Round 6 ,2019-06-30,Unique
13,1:14.709,0.566,0.084,208.071,9.0,5,S. Sette Câmara,DAMS,Spielberg,Qualifying Session,17:22:33,Round 6 ,2019-06-30,Unique
13,1:14.755,0.612,0.046,207.943,10.0,11,C. Ilott,Sauber Junior Team by Charouz,Spielberg,Qualifying Session,17:22:51,Round 6 ,2019-06-30,Unique
11,1:14.808,0.665,0.053,207.795,11.0,10,S. Gelael,PREMA Racing,Spielberg,Qualifying Session,17:01:56,Round 6 ,2019-06-30,Unique
12,1:14.882,0.739,0.074,207.59,12.0,3,N. Mazepin,ART Grand Prix,Spielberg,Qualifying Session,17:22:44,Round 6 ,2019-06-30,Unique
13,1:14.887,0.744,0.005,207.576,13.0,12,J. Correa,Sauber Junior Team by Charouz,Spielberg,Qualifying Session,17:01:43,Round 6 ,2019-06-30,Unique
13,1:14.986,0.843,0.099,207.302,14.0,15,J. Aitken,Campos Racing,Spielberg,Qualifying Session,17:01:21,Round 6 ,2019-06-30,Unique
13,1:15.139,0.996,0.153,206.88,15.0,16,J. King,MP Motorsport,Spielberg,Qualifying Session,17:23:07,Round 6 ,2019-06-30,Unique
13,1:15.212,1.069,0.073,206.679,16.0,20,G. Alesi,Trident,Spielberg,Qualifying Session,17:23:02,Round 6 ,2019-06-30,Unique
13,1:15.327,1.184,0.115,206.364,17.0,17,P. O'Ward,MP Motorsport,Spielberg,Qualifying Session,17:01:33,Round 6 ,2019-06-30,Unique
14,1:15.363,1.220,0.036,206.265,18.0,14,A. Maini,Campos Racing,Spielberg,Qualifying Session,17:23:10,Round 6 ,2019-06-30,Unique
11,1:15.435,1.292,0.072,206.068,19.0,21,R. Tveter,Trident,Spielberg,Qualifying Session,17:10:36,Round 6 ,2019-06-30,Unique
15,1:16.164,2.021,0.729,204.096,20.0,18,T. Calderón,BWT Arden,Spielberg,Qualifying Session,17:23:21,Round 6 ,2019-06-30,Unique
11,1:38.182,-,-,216.002,1.0,7,G. Zhou,UNI-Virtuosi,Silverstone,Qualifying Session,16:21:36,Round 7 ,2019-07-14,Unique
11,1:38.410,0.228,0.228,215.502,2.0,8,L. Ghiotto,UNI-Virtuosi,Silverstone,Qualifying Session,16:21:47,Round 7 ,2019-07-14,Unique
11,1:38.511,0.329,0.101,215.281,3.0,5,S. Sette Câmara,DAMS,Silverstone,Qualifying Session,16:02:18,Round 7 ,2019-07-14,Unique
10,1:38.519,0.337,0.008,215.264,4.0,6,N. Latifi,DAMS,Silverstone,Qualifying Session,16:01:58,Round 7 ,2019-07-14,Unique
11,1:38.547,0.365,0.028,215.202,5.0,1,L. Delétraz,Carlin,Silverstone,Qualifying Session,16:20:47,Round 7 ,2019-07-14,Unique
10,1:38.549,0.367,0.002,215.198,6.0,11,C. Ilott,Sauber Junior Team by Charouz,Silverstone,Qualifying Session,16:20:23,Round 7 ,2019-07-14,Unique
12,1:38.613,0.431,0.064,215.058,7.0,4,N. de Vries,ART Grand Prix,Silverstone,Qualifying Session,16:20:11,Round 7 ,2019-07-14,Unique
11,1:38.686,0.504,0.073,214.899,8.0,15,J. Aitken,Campos Racing,Silverstone,Qualifying Session,16:20:41,Round 7 ,2019-07-14,Unique
11,1:38.877,0.695,0.191,214.484,9.0,2,N. Matsushita,Carlin,Silverstone,Qualifying Session,16:20:55,Round 7 ,2019-07-14,Unique
11,1:39.046,0.864,0.169,214.118,10.0,19,A. Hubert,BWT Arden,Silverstone,Qualifying Session,16:02:04,Round 7 ,2019-07-14,Unique
11,1:39.071,0.889,0.025,214.064,11.0,12,J. Correa,Sauber Junior Team by Charouz,Silverstone,Qualifying Session,16:20:44,Round 7 ,2019-07-14,Unique
11,1:39.225,1.043,0.154,213.732,12.0,16,J. King,MP Motorsport,Silverstone,Qualifying Session,16:17:18,Round 7 ,2019-07-14,Unique
12,1:39.227,1.045,0.002,213.728,13.0,9,M. Schumacher,PREMA Racing,Silverstone,Qualifying Session,16:06:29,Round 7 ,2019-07-14,Unique
12,1:39.512,1.330,0.285,213.116,14.0,14,A. Maini,Campos Racing,Silverstone,Qualifying Session,16:24:46,Round 7 ,2019-07-14,Unique
10,1:39.574,1.392,0.062,212.983,15.0,20,G. Alesi,Trident,Silverstone,Qualifying Session,16:01:18,Round 7 ,2019-07-14,Unique
12,1:39.615,1.433,0.041,212.895,16.0,3,N. Mazepin,ART Grand Prix,Silverstone,Qualifying Session,16:20:21,Round 7 ,2019-07-14,Unique
12,1:39.622,1.440,0.007,212.88,17.0,21,D. Boccolacci,Trident,Silverstone,Qualifying Session,16:20:35,Round 7 ,2019-07-14,Unique
11,1:39.790,1.608,0.168,212.522,18.0,10,S. Gelael,PREMA Racing,Silverstone,Qualifying Session,16:21:15,Round 7 ,2019-07-14,Unique
12,1:40.530,2.348,0.740,210.957,19.0,18,T. Calderón,BWT Arden,Silverstone,Qualifying Session,16:20:28,Round 7 ,2019-07-14,Unique
11,1:41.725,3.543,1.195,208.479,20.0,17,M. Raghunathan,MP Motorsport,Silverstone,Qualifying Session,16:05:31,Round 7 ,2019-07-14,Unique
13,1:49.809,-,-,143.627,1.0,4,N. de Vries,ART Grand Prix,Budapest,Qualifying Session,17:25:37,Round 8 ,2019-08-04,Unique
13,1:50.036,0.227,0.227,143.331,2.0,8,L. Ghiotto,UNI-Virtuosi,Budapest,Qualifying Session,17:27:46,Round 8 ,2019-08-04,Unique
13,1:50.578,0.769,0.542,142.628,3.0,6,N. Latifi,DAMS,Budapest,Qualifying Session,17:16:33,Round 8 ,2019-08-04,Unique
12,1:50.748,0.939,0.170,142.409,4.0,9,M. Schumacher,PREMA Racing,Budapest,Qualifying Session,17:26:35,Round 8 ,2019-08-04,Unique
14,1:50.853,1.044,0.105,142.274,5.0,1,L. Delétraz,Carlin,Budapest,Qualifying Session,17:27:54,Round 8 ,2019-08-04,Unique
13,1:50.871,1.062,0.018,142.251,6.0,11,C. Ilott,Sauber Junior Team by Charouz,Budapest,Qualifying Session,17:27:02,Round 8 ,2019-08-04,Unique
13,1:50.962,1.153,0.091,142.135,7.0,15,J. Aitken,Campos Racing,Budapest,Qualifying Session,17:18:37,Round 8 ,2019-08-04,Unique
14,1:51.408,1.599,0.446,141.566,8.0,2,N. Matsushita,Carlin,Budapest,Qualifying Session,17:31:01,Round 8 ,2019-08-04,Unique
12,1:51.513,1.704,0.105,141.432,9.0,19,A. Hubert,BWT Arden,Budapest,Qualifying Session,17:30:08,Round 8 ,2019-08-04,Unique
13,1:51.573,1.764,0.060,141.356,10.0,7,G. Zhou,UNI-Virtuosi,Budapest,Qualifying Session,17:30:20,Round 8 ,2019-08-04,Unique
13,1:51.717,1.908,0.144,141.174,11.0,16,J. King,MP Motorsport,Budapest,Qualifying Session,17:25:31,Round 8 ,2019-08-04,Unique
13,1:51.788,1.979,0.071,141.084,12.0,12,J. Correa,Sauber Junior Team by Charouz,Budapest,Qualifying Session,17:30:42,Round 8 ,2019-08-04,Unique
12,1:51.817,2.008,0.029,141.048,13.0,5,S. Sette Câmara,DAMS,Budapest,Qualifying Session,17:25:22,Round 8 ,2019-08-04,Unique
13,1:52.644,2.835,0.827,140.012,14.0,20,G. Alesi,Trident,Budapest,Qualifying Session,17:28:39,Round 8 ,2019-08-04,Unique
12,1:52.718,2.909,0.074,139.92,15.0,14,A. Maini,Campos Racing,Budapest,Qualifying Session,17:15:44,Round 8 ,2019-08-04,Unique
13,1:52.956,3.147,0.238,139.626,16.0,21,R. Boschung,Trident,Budapest,Qualifying Session,17:25:59,Round 8 ,2019-08-04,Unique
12,1:52.995,3.186,0.039,139.577,17.0,10,S. Gelael,PREMA Racing,Budapest,Qualifying Session,17:30:06,Round 8 ,2019-08-04,Unique
12,1:53.997,4.188,1.002,138.351,18.0,18,T. Calderón,BWT Arden,Budapest,Qualifying Session,17:18:18,Round 8 ,2019-08-04,Unique
12,1:55.217,5.408,1.220,136.886,19.0,17,M. Raghunathan,MP Motorsport,Budapest,Qualifying Session,17:24:47,Round 8 ,2019-08-04,Unique
8,1:58.304,-,-,213.132,1.0,4,N. de Vries,ART Grand Prix,Spa-Francorchamps,Qualifying Session,17:29:24,Round 9 ,2019-08-31,Unique
8,1:58.576,0.272,0.272,212.643,2.0,5,S. Sette Câmara,DAMS,Spa-Francorchamps,Qualifying Session,17:29:38,Round 9 ,2019-08-31,Unique
8,1:58.785,0.481,0.209,212.269,3.0,15,J. Aitken,Campos Racing,Spa-Francorchamps,Qualifying Session,17:29:51,Round 9 ,2019-08-31,Unique
8,1:58.832,0.528,0.047,212.185,4.0,2,N. Matsushita,Carlin,Spa-Francorchamps,Qualifying Session,17:29:32,Round 9 ,2019-08-31,Unique
8,1:58.910,0.606,0.078,212.046,5.0,1,L. Delétraz,Carlin,Spa-Francorchamps,Qualifying Session,17:29:27,Round 9 ,2019-08-31,Unique
7,1:59.141,0.837,0.231,211.634,6.0,9,M. Schumacher,PREMA Racing,Spa-Francorchamps,Qualifying Session,17:29:40,Round 9 ,2019-08-31,Unique
8,1:59.142,0.838,0.001,211.633,7.0,3,N. Mazepin,ART Grand Prix,Spa-Francorchamps,Qualifying Session,17:29:28,Round 9 ,2019-08-31,Unique
7,1:59.425,1.121,0.059,211.131,8.0,7,G. Zhou,UNI-Virtuosi,Spa-Francorchamps,Qualifying Session,17:12:47,Round 9 ,2019-08-31,Unique
7,1:59.614,1.310,0.189,210.798,9.0,8,L. Ghiotto,UNI-Virtuosi,Spa-Francorchamps,Qualifying Session,17:12:10,Round 9 ,2019-08-31,Unique
7,1:59.747,1.443,0.133,210.563,10.0,6,N. Latifi,DAMS,Spa-Francorchamps,Qualifying Session,17:12:58,Round 9 ,2019-08-31,Unique
9,1:59.366,1.062,0.224,211.236,11.0,16,J. King,MP Motorsport,Spa-Francorchamps,Qualifying Session,17:30:00,Round 9 ,2019-08-31,Unique
8,1:59.961,1.657,0.214,210.188,12.0,20,G. Alesi,Trident,Spa-Francorchamps,Qualifying Session,17:11:46,Round 9 ,2019-08-31,Unique
7,2:00.005,1.701,0.044,210.111,13.0,19,A. Hubert,BWT Arden,Spa-Francorchamps,Qualifying Session,17:12:38,Round 9 ,2019-08-31,Unique
7,2:00.030,1.726,0.025,210.067,14.0,21,R. Boschung,Trident,Spa-Francorchamps,Qualifying Session,17:12:14,Round 9 ,2019-08-31,Unique
9,2:00.250,1.946,0.220,209.683,15.0,12,J. Correa,Sauber Junior Team by Charouz,Spa-Francorchamps,Qualifying Session,17:11:40,Round 9 ,2019-08-31,Unique
6,2:00.327,2.023,0.077,209.548,16.0,10,S. Gelael,PREMA Racing,Spa-Francorchamps,Qualifying Session,17:11:42,Round 9 ,2019-08-31,Unique
10,2:01.185,2.881,0.858,208.065,17.0,14,M. Sato,Campos Racing,Spa-Francorchamps,Qualifying Session,17:16:24,Round 9 ,2019-08-31,Unique
8,2:03.224,4.920,1.998,204.622,18.0,18,T. Calderón,BWT Arden,Spa-Francorchamps,Qualifying Session,17:14:37,Round 9 ,2019-08-31,Unique
10,2:01.226,2.922,0.041,207.994,19.0,17,M. Raghunathan,MP Motorsport,Spa-Francorchamps,Qualifying Session,17:30:06,Round 9 ,2019-08-31,Unique
13,1:33.887,-,-,222.126,1.0,11,C. Ilott,Sauber Junior Team by Charouz,Monza,Qualifying Session,17:04:11,Round 10 ,2019-09-08,Unique
13,1:34.030,0.143,0.143,221.788,2.0,7,G. Zhou,UNI-Virtuosi,Monza,Qualifying Session,17:04:04,Round 10 ,2019-09-08,Unique
14,1:34.063,0.176,0.033,221.71,3.0,3,N. Mazepin,ART Grand Prix,Monza,Qualifying Session,17:04:10,Round 10 ,2019-09-08,Unique
15,1:34.156,0.269,0.093,221.491,4.0,4,N. de Vries,ART Grand Prix,Monza,Qualifying Session,17:32:33,Round 10 ,2019-09-08,Unique
14,1:34.272,0.385,0.116,221.219,5.0,5,S. Sette Câmara,DAMS,Monza,Qualifying Session,17:04:08,Round 10 ,2019-09-08,Unique
5,1:34.419,0.532,0.147,220.875,6.0,2,N. Matsushita,Carlin,Monza,Qualifying Session,17:02:39,Round 10 ,2019-09-08,Unique
14,1:34.885,0.998,0.466,219.79,7.0,6,N. Latifi,DAMS,Monza,Qualifying Session,17:03:53,Round 10 ,2019-09-08,Unique
11,1:34.944,1.057,0.059,219.653,8.0,16,J. King,MP Motorsport,Monza,Qualifying Session,17:32:43,Round 10 ,2019-09-08,Unique
13,1:35.082,1.195,0.138,219.334,9.0,9,M. Schumacher,PREMA Racing,Monza,Qualifying Session,17:02:45,Round 10 ,2019-09-08,Unique
13,1:35.101,1.214,0.019,219.291,10.0,1,L. Delétraz,Carlin,Monza,Qualifying Session,17:04:00,Round 10 ,2019-09-08,Unique
13,1:35.148,1.261,0.047,219.182,11.0,10,S. Gelael,PREMA Racing,Monza,Qualifying Session,17:04:03,Round 10 ,2019-09-08,Unique
14,1:35.310,1.423,0.162,218.81,12.0,20,G. Alesi,Trident,Monza,Qualifying Session,17:04:08,Round 10 ,2019-09-08,Unique
13,1:35.547,1.660,0.237,218.267,13.0,15,J. Aitken,Campos Racing,Monza,Qualifying Session,17:04:59,Round 10 ,2019-09-08,Unique
15,1:35.641,1.754,0.094,218.052,14.0,8,L. Ghiotto,UNI-Virtuosi,Monza,Qualifying Session,17:33:05,Round 10 ,2019-09-08,Unique
13,1:36.709,2.822,1.068,215.644,15.0,14,M. Sato,Campos Racing,Monza,Qualifying Session,17:04:50,Round 10 ,2019-09-08,Unique
14,1:37.027,3.140,0.318,214.938,16.0,17,M. Raghunathan,MP Motorsport,Monza,Qualifying Session,17:04:32,Round 10 ,2019-09-08,Unique
11,1:47.440,-,-,195.949,1.0,4,N. de Vries,ART Grand Prix,Sochi,Qualifying Session,17:26:04,Round 11 ,2019-09-29,Unique
12,1:47.700,0.260,0.260,195.476,2.0,6,N. Latifi,DAMS,Sochi,Qualifying Session,17:26:23,Round 11 ,2019-09-29,Unique
11,1:47.737,0.297,0.037,195.409,3.0,11,C. Ilott,Sauber Junior Team by Charouz,Sochi,Qualifying Session,17:26:31,Round 11 ,2019-09-29,Unique
12,1:47.767,0.327,0.030,195.354,4.0,8,L. Ghiotto,UNI-Virtuosi,Sochi,Qualifying Session,17:26:28,Round 11 ,2019-09-29,Unique
10,1:47.843,0.403,0.076,195.217,5.0,7,G. Zhou,UNI-Virtuosi,Sochi,Qualifying Session,17:26:58,Round 11 ,2019-09-29,Unique
12,1:48.031,0.591,0.188,194.877,6.0,5,S. Sette Câmara,DAMS,Sochi,Qualifying Session,17:26:15,Round 11 ,2019-09-29,Unique
12,1:48.188,0.748,0.157,194.594,7.0,1,L. Delétraz,Carlin,Sochi,Qualifying Session,17:26:09,Round 11 ,2019-09-29,Unique
12,1:48.226,0.786,0.038,194.526,8.0,3,N. Mazepin,ART Grand Prix,Sochi,Qualifying Session,17:30:22,Round 11 ,2019-09-29,Unique
10,1:48.320,0.880,0.094,194.357,9.0,16,J. King,MP Motorsport,Sochi,Qualifying Session,17:26:46,Round 11 ,2019-09-29,Unique
8,1:48.396,0.956,0.076,194.221,10.0,2,N. Matsushita,Carlin,Sochi,Qualifying Session,17:15:35,Round 11 ,2019-09-29,Unique
10,1:48.444,1.004,0.048,194.135,11.0,9,M. Schumacher,PREMA Racing,Sochi,Qualifying Session,17:27:08,Round 11 ,2019-09-29,Unique
11,1:48.477,1.037,0.033,194.076,12.0,15,J. Aitken,Campos Racing,Sochi,Qualifying Session,17:12:22,Round 11 ,2019-09-29,Unique
10,1:48.567,1.127,0.090,193.915,13.0,10,S. Gelael,PREMA Racing,Sochi,Qualifying Session,17:26:38,Round 11 ,2019-09-29,Unique
10,1:48.850,1.410,0.283,193.411,14.0,20,G. Alesi,Trident,Sochi,Qualifying Session,17:26:35,Round 11 ,2019-09-29,Unique
10,1:48.880,1.440,0.030,193.357,15.0,21,R. Boschung,Trident,Sochi,Qualifying Session,17:26:34,Round 11 ,2019-09-29,Unique
11,1:49.244,1.804,0.364,192.713,16.0,22,A. Markelov,BWT Arden,Sochi,Qualifying Session,17:27:17,Round 11 ,2019-09-29,Unique
11,1:49.497,2.057,0.253,192.268,17.0,12,M. Isaakyan,Sauber Junior Team by Charouz,Sochi,Qualifying Session,17:26:43,Round 11 ,2019-09-29,Unique
11,1:50.255,2.815,0.758,190.946,18.0,18,T. Calderón,BWT Arden,Sochi,Qualifying Session,17:27:03,Round 11 ,2019-09-29,Unique
10,1:50.311,2.871,0.056,190.849,19.0,14,M. Sato,Campos Racing,Sochi,Qualifying Session,17:11:51,Round 11 ,2019-09-29,Unique
12,1:51.949,4.509,1.638,188.057,20.0,17,M. Raghunathan,MP Motorsport,Sochi,Qualifying Session,17:26:56,Round 11 ,2019-09-29,Unique
10,1:49.751,-,-,182.179,1.0,5,S. Sette Câmara,DAMS,Yas Island,Qualifying Session,19:28:08,Round 12 ,2019-12-01,Unique
10,1:49.840,0.089,0.089,182.032,2.0,11,C. Ilott,Sauber Junior Team by Charouz,Yas Island,Qualifying Session,19:28:29,Round 12 ,2019-12-01,Unique
9,1:49.931,0.180,0.091,181.881,3.0,1,L. Delétraz,Carlin,Yas Island,Qualifying Session,19:28:18,Round 12 ,2019-12-01,Unique
10,1:50.157,0.406,0.226,181.508,4.0,2,N. Matsushita,Carlin,Yas Island,Qualifying Session,19:28:16,Round 12 ,2019-12-01,Unique
9,1:50.190,0.439,0.033,181.453,5.0,7,G. Zhou,UNI-Virtuosi,Yas Island,Qualifying Session,19:28:37,Round 12 ,2019-12-01,Unique
8,1:50.288,0.537,0.098,181.292,6.0,4,N. de Vries,ART Grand Prix,Yas Island,Qualifying Session,19:28:02,Round 12 ,2019-12-01,Unique
9,1:50.303,0.552,0.015,181.267,7.0,6,N. Latifi,DAMS,Yas Island,Qualifying Session,19:16:49,Round 12 ,2019-12-01,Unique
8,1:50.520,0.769,0.217,180.912,8.0,15,J. Aitken,Campos Racing,Yas Island,Qualifying Session,19:16:54,Round 12 ,2019-12-01,Unique
5,1:50.618,0.867,0.098,180.751,9.0,3,N. Mazepin,ART Grand Prix,Yas Island,Qualifying Session,19:28:13,Round 12 ,2019-12-01,Unique
7,1:50.652,0.901,0.034,180.696,10.0,9,M. Schumacher,PREMA Racing,Yas Island,Qualifying Session,19:17:05,Round 12 ,2019-12-01,Unique
10,1:50.858,1.107,0.206,180.36,11.0,8,L. Ghiotto,UNI-Virtuosi,Yas Island,Qualifying Session,19:07:41,Round 12 ,2019-12-01,Unique
10,1:50.920,1.169,0.062,180.259,12.0,20,G. Alesi,Trident,Yas Island,Qualifying Session,19:28:22,Round 12 ,2019-12-01,Unique
10,1:51.174,1.423,0.254,179.847,13.0,16,J. King,MP Motorsport,Yas Island,Qualifying Session,19:29:06,Round 12 ,2019-12-01,Unique
10,1:51.412,1.661,0.238,179.463,14.0,22,A. Markelov,BWT Arden,Yas Island,Qualifying Session,19:08:08,Round 12 ,2019-12-01,Unique
10,1:51.522,1.771,0.110,179.286,15.0,12,M. Isaakyan,Sauber Junior Team by Charouz,Yas Island,Qualifying Session,19:07:19,Round 12 ,2019-12-01,Unique
10,1:51.829,2.078,0.307,178.794,16.0,14,M. Sato,Campos Racing,Yas Island,Qualifying Session,19:07:24,Round 12 ,2019-12-01,Unique
8,1:51.884,2.133,0.055,178.706,17.0,10,S. Gelael,PREMA Racing,Yas Island,Qualifying Session,19:06:58,Round 12 ,2019-12-01,Unique
10,1:52.140,2.389,0.256,178.298,18.0,21,C. Lundgaard,Trident,Yas Island,Qualifying Session,19:11:44,Round 12 ,2019-12-01,Unique
10,1:52.412,2.661,0.272,177.867,19.0,18,T. Calderón,BWT Arden,Yas Island,Qualifying Session,19:07:47,Round 12 ,2019-12-01,Unique
6,1:53.363,3.612,0.951,176.375,20.0,17,M. Raghunathan,MP Motorsport,Yas Island,Qualifying Session,19:07:34,Round 12 ,2019-12-01,Unique
9,1:40.504,-,-,193.854,1.0,8,L. Ghiotto,UNI-Virtuosi,Sakhir,Qualifying Session,17:25:10,Round 1 ,2019-03-31,Unique
9,1:40.871,0.367,0.367,193.149,2.0,1,L. Delétraz,Carlin,Sakhir,Qualifying Session,17:24:17,Round 1 ,2019-03-31,Unique
9,1:40.889,0.385,0.018,193.115,3.0,4,N. de Vries,ART Grand Prix,Sakhir,Qualifying Session,17:24:10,Round 1 ,2019-03-31,Unique
9,1:40.964,0.460,0.075,192.971,4.0,6,N. Latifi,DAMS,Sakhir,Qualifying Session,17:15:08,Round 1 ,2019-03-31,Unique
9,1:41.115,0.611,0.151,192.683,5.0,15,J. Aitken,Campos Racing,Sakhir,Qualifying Session,17:15:55,Round 1 ,2019-03-31,Unique
9,1:41.137,0.633,0.022,192.641,6.0,2,N. Matsushita,Carlin,Sakhir,Qualifying Session,17:24:23,Round 1 ,2019-03-31,Unique
8,1:41.254,0.750,0.117,192.419,7.0,10,S. Gelael,PREMA Racing,Sakhir,Qualifying Session,17:24:42,Round 1 ,2019-03-31,Unique
11,1:41.310,0.806,0.056,192.312,8.0,5,S. Sette Câmara,DAMS,Sakhir,Qualifying Session,17:17:00,Round 1 ,2019-03-31,Unique
9,1:41.505,1.001,0.195,191.943,9.0,21,R. Boschung,Trident,Sakhir,Qualifying Session,17:24:31,Round 1 ,2019-03-31,Unique
8,1:41.583,1.079,0.078,191.795,10.0,9,M. Schumacher,PREMA Racing,Sakhir,Qualifying Session,17:24:57,Round 1 ,2019-03-31,Unique
9,1:41.596,1.092,0.013,191.771,11.0,19,A. Hubert,BWT Arden,Sakhir,Qualifying Session,17:24:28,Round 1 ,2019-03-31,Unique
10,1:41.722,1.218,0.126,191.533,12.0,12,J. Correa,Sauber Junior Team by Charouz,Sakhir,Qualifying Session,17:23:47,Round 1 ,2019-03-31,Unique
9,1:41.848,1.344,0.126,191.296,13.0,3,N. Mazepin,ART Grand Prix,Sakhir,Qualifying Session,17:24:15,Round 1 ,2019-03-31,Unique
9,1:41.857,1.353,0.009,191.279,14.0,16,J. King,MP Motorsport,Sakhir,Qualifying Session,17:24:36,Round 1 ,2019-03-31,Unique
9,1:41.864,1.360,0.007,191.266,15.0,20,G. Alesi,Trident,Sakhir,Qualifying Session,17:24:34,Round 1 ,2019-03-31,Unique
9,1:41.918,1.414,0.054,191.165,16.0,14,D. Boccolacci,Campos Racing,Sakhir,Qualifying Session,17:16:01,Round 1 ,2019-03-31,Unique
8,1:42.123,1.619,0.205,190.781,17.0,7,G. Zhou,UNI-Virtuosi,Sakhir,Qualifying Session,17:15:02,Round 1 ,2019-03-31,Unique
5,1:42.280,1.776,0.157,190.488,18.0,11,C. Ilott,Sauber Junior Team by Charouz,Sakhir,Qualifying Session,16:56:34,Round 1 ,2019-03-31,Unique
9,1:42.810,2.306,0.530,189.506,19.0,18,T. Calderón,BWT Arden,Sakhir,Qualifying Session,17:25:03,Round 1 ,2019-03-31,Unique
10,1:43.343,2.839,0.533,188.529,20.0,17,M. Raghunathan,MP Motorsport,Sakhir,Qualifying Session,17:00:57,Round 1 ,2019-03-31,Unique
11,1:20.676,-,-,148.906,1.0,4,N. de Vries,ART Grand Prix,Monte Carlo,Qualifying Session,13:58:04,Round 4 ,2019-05-25,Group B
10,1:20.924,0.248,0.248,148.45,2.0,8,L. Ghiotto,UNI-Virtuosi,Monte Carlo,Qualifying Session,14:01:15,Round 4 ,2019-05-25,Group B
9,1:21.130,0.454,0.206,148.073,3.0,6,N. Latifi,DAMS,Monte Carlo,Qualifying Session,13:58:34,Round 4 ,2019-05-25,Group B
10,1:21.598,0.922,0.468,147.224,4.0,10,S. Gelael,PREMA Racing,Monte Carlo,Qualifying Session,13:59:08,Round 4 ,2019-05-25,Group B
11,1:21.807,1.131,0.209,146.848,5.0,2,N. Matsushita,Carlin,Monte Carlo,Qualifying Session,13:58:23,Round 4 ,2019-05-25,Group B
11,1:22.086,1.410,0.279,146.348,6.0,16,A. Markelov,MP Motorsport,Monte Carlo,Qualifying Session,13:58:41,Round 4 ,2019-05-25,Group B
8,1:22.290,1.614,0.204,145.986,7.0,14,D. Boccolacci,Campos Racing,Monte Carlo,Qualifying Session,13:54:41,Round 4 ,2019-05-25,Group B
11,1:22.437,1.761,0.147,145.725,8.0,12,J. Correa,Sauber Junior Team by Charouz,Monte Carlo,Qualifying Session,14:01:10,Round 4 ,2019-05-25,Group B
11,1:22.785,2.109,0.348,145.113,9.0,20,G. Alesi,Trident,Monte Carlo,Qualifying Session,14:00:58,Round 4 ,2019-05-25,Group B
10,1:24.791,4.115,2.006,141.68,10.0,18,T. Calderón,BWT Arden,Monte Carlo,Qualifying Session,14:00:39,Round 4 ,2019-05-25,Group B
10,1:21.462,-,-,147.469,1.0,11,C. Ilott,Sauber Junior Team by Charouz,Monte Carlo,Qualifying Session,13:34:14,Round 4 ,2019-05-25,Group A
11,1:21.469,0.007,0.007,147.457,2.0,9,M. Schumacher,PREMA Racing,Monte Carlo,Qualifying Session,13:37:21,Round 4 ,2019-05-25,Group A
10,1:21.537,0.075,0.068,147.334,3.0,5,S. Sette Câmara,DAMS,Monte Carlo,Qualifying Session,13:36:09,Round 4 ,2019-05-25,Group A
9,1:21.675,0.213,0.138,147.085,4.0,19,A. Hubert,BWT Arden,Monte Carlo,Qualifying Session,13:34:38,Round 4 ,2019-05-25,Group A
11,1:21.936,0.474,0.261,146.616,5.0,1,L. Delétraz,Carlin,Monte Carlo,Qualifying Session,13:36:57,Round 4 ,2019-05-25,Group A
11,1:22.089,0.627,0.153,146.343,6.0,3,N. Mazepin,ART Grand Prix,Monte Carlo,Qualifying Session,13:37:07,Round 4 ,2019-05-25,Group A
11,1:22.233,0.771,0.144,146.087,7.0,21,R. Boschung,Trident,Monte Carlo,Qualifying Session,13:34:08,Round 4 ,2019-05-25,Group A
10,1:22.772,1.310,0.539,145.136,8.0,7,G. Zhou,UNI-Virtuosi,Monte Carlo,Qualifying Session,13:33:42,Round 4 ,2019-05-25,Group A
10,1:22.877,1.415,0.105,144.952,9.0,15,J. Aitken,Campos Racing,Monte Carlo,Qualifying Session,13:31:20,Round 4 ,2019-05-25,Group A
11,1:26.522,5.060,3.645,138.845,10.0,17,M. Raghunathan,MP Motorsport,Monte Carlo,Qualifying Session,13:37:19,Round 4 ,2019-05-25,Group A
11,1:28.381,-,-,189.61,1.0,4,C. Ilott,UNI-Virtuosi,Barcelona,Qualifying Session,17:19:50,Round 6 ,2020-08-16,Unique
