LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
21,36:47.822,-,-,201.5,1:39.993,20.0,1,15,J. Aitken,Campos Racing,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,36:52.819,4.997,4.997,201.045,1:40.976,19.0,2,1,L. Delétraz,Carlin,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,36:56.016,8.194,3.197,200.755,1:40.966,20.0,3,4,N. de Vries,ART Grand Prix,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,36:56.672,8.850,0.656,200.695,1:41.078,20.0,4,11,C. Ilott,Sauber Junior Team by Charouz,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:04.025,16.203,7.353,200.032,1:41.364,19.0,5,6,N. Latifi,DAMS,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:07.044,19.222,3.019,199.761,1:41.612,20.0,6,9,M. Schumacher,PREMA Racing,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:07.488,19.666,0.444,199.721,1:41.370,20.0,7,2,N. Matsushita,Carlin,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:08.003,20.181,0.515,199.675,1:41.218,21.0,8,7,G. Zhou,UNI-Virtuosi,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:09.553,21.731,1.550,199.536,1:41.580,20.0,9,16,J. King,MP Motorsport,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:13.642,25.820,4.089,199.171,1:41.358,20.0,10,12,J. Correa,Sauber Junior Team by Charouz,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:22.131,34.309,8.489,198.417,1:41.666,19.0,11,19,A. Hubert,BWT Arden,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:25.248,37.426,3.117,198.141,1:42.384,21.0,12,3,N. Mazepin,ART Grand Prix,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:28.403,40.581,3.155,197.863,1:40.715,21.0,13,14,A. Maini,Campos Racing,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:35.081,47.259,6.678,197.277,1:42.310,17.0,14,21,D. Boccolacci,Trident,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:45.518,57.696,10.437,196.368,1:40.902,18.0,15,8,L. Ghiotto,UNI-Virtuosi,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:47.820,59.998,2.302,196.169,1:42.850,18.0,16,18,T. Calderón,BWT Arden,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:57.813,69.991,9.993,195.308,1:40.330,19.0,17,5,S. Sette Câmara,DAMS,Silverstone,Sprint Race,,Round 7 ,2019-07-14
21,37:57.979,70.157,0.166,195.294,1:43.010,20.0,18,17,M. Raghunathan,MP Motorsport,Silverstone,Sprint Race,,Round 7 ,2019-07-14
29,50:21.114,-,-,203.414,1:41.073,26.0,1,8,L. Ghiotto,UNI-Virtuosi,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,50:24.428,3.314,3.314,203.191,1:41.220,29.0,2,6,N. Latifi,DAMS,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,50:28.300,7.186,3.872,202.931,1:41.249,29.0,3,7,G. Zhou,UNI-Virtuosi,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,50:32.955,11.841,4.655,202.62,1:40.858,24.0,4,5,S. Sette Câmara,DAMS,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,50:34.858,13.744,1.903,202.493,1:41.182,28.0,5,15,J. Aitken,Campos Racing,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,50:40.083,18.969,5.225,202.145,1:41.895,22.0,6,4,N. de Vries,ART Grand Prix,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,50:40.580,19.466,0.497,202.112,1:41.395,27.0,7,1,L. Delétraz,Carlin,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,50:44.258,23.144,3.678,201.867,1:41.683,25.0,8,11,C. Ilott,Sauber Junior Team by Charouz,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,50:45.377,24.263,1.119,201.793,1:41.161,29.0,9,2,N. Matsushita,Carlin,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,50:51.290,30.176,5.913,201.402,1:41.707,28.0,10,16,J. King,MP Motorsport,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,50:52.214,31.100,0.924,201.341,1:41.654,28.0,11,9,M. Schumacher,PREMA Racing,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,51:08.822,47.708,0.636,200.252,1:42.318,23.0,12,12,J. Correa,Sauber Junior Team by Charouz,Silverstone,Feature Race,,Round 7 ,2019-07-14
29,51:13.186,47.072,15.972,200.293,1:41.874,27.0,13,14,A. Maini,Campos Racing,Silverstone,Feature Race,,Round 7 ,2019-07-14
