LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
22,41:36.188,-,-,176.053,1:52.573,18.0,1,1,C. Leclerc,PREMA Racing,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,41:37.481,1.293,-,175.962,1:51.901,4.0,2,8,A. Albon,ART Grand Prix,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,41:39.395,3.207,1.914,175.827,1:51.875,4.0,3,10,N. Latifi,DAMS,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,41:40.293,4.105,0.898,175.764,1:52.122,3.0,4,7,N. Matsushita,ART Grand Prix,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,41:41.140,4.952,0.847,175.704,1:52.760,9.0,5,5,L. Ghiotto,RUSSIAN TIME,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,41:50.946,14.758,9.806,175.018,1:53.022,12.0,6,6,A. Markelov,RUSSIAN TIME,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,41:51.634,15.446,0.688,174.97,1:52.792,3.0,7,9,O. Rowland,DAMS,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,42:00.983,24.795,9.349,174.321,1:53.286,3.0,8,14,S. Sette Câmara,MP Motorsport,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,42:05.449,29.261,4.466,174.013,1:52.348,4.0,9,3,N. de Vries,Racing Engineering,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,42:05.877,29.689,0.428,173.984,1:52.926,17.0,10,19,R. Merhi,Rapax,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,42:06.100,29.912,0.223,173.968,1:52.529,18.0,11,2,A. Fuoco,PREMA Racing,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,42:07.187,30.999,1.087,173.894,1:53.365,10.0,12,12,Á. Palou,Campos Racing,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,42:07.752,31.564,0.565,173.855,1:53.067,17.0,13,11,L. Norris,Campos Racing,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,42:14.902,38.714,7.150,173.364,1:53.424,5.0,14,21,S. Gelael,Pertamina Arden,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,42:15.793,39.605,0.891,173.303,1:53.597,9.0,15,17,S. Ferrucci,Trident,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,42:19.498,43.310,3.705,173.051,1:53.605,13.0,16,16,N. Jeffri,Trident,Yas Island,Sprint Race,,Round 11 ,2017-11-26
22,42:25.847,49.659,6.349,172.619,1:53.183,3.0,17,4,G. Malja,Racing Engineering,Yas Island,Sprint Race,,Round 11 ,2017-11-26
19,36:42.542,DNF,-,172.291,1:53.340,5.0,18,20,N. Nato,Pertamina Arden,Yas Island,Sprint Race,,Round 11 ,2017-11-26
31,59:34.767,6.679,-,173.273,1:53.014,9.0,1,6,A. Markelov,RUSSIAN TIME,Yas Island,Feature Race,,Round 11 ,2017-11-26
31,59:51.032,22.944,0.015,172.488,1:51.437,25.0,2,1,C. Leclerc,PREMA Racing,Yas Island,Feature Race,,Round 11 ,2017-11-26
31,1:00:00.205,32.117,9.173,172.049,1:53.485,29.0,3,5,L. Ghiotto,RUSSIAN TIME,Yas Island,Feature Race,,Round 11 ,2017-11-26
31,1:00:01.948,33.860,1.743,171.965,1:52.037,25.0,4,3,N. de Vries,Racing Engineering,Yas Island,Feature Race,,Round 11 ,2017-11-26
