LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
23,37:51.980,-,-,191.215,1:34.907,2.0,1,6,C. Lundgaard,ART Grand Prix,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:06.301,14.321,14.321,190.017,1:35.086,3.0,2,11,L. Delétraz,Charouz Racing System,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:06.850,14.870,0.549,189.971,1:35.462,3.0,3,1,J. Vips,DAMS,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:09.998,18.018,3.148,189.71,1:35.671,3.0,4,20,M. Schumacher,PREMA Racing,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:10.362,18.382,0.364,189.68,1:35.164,18.0,5,3,G. Zhou,UNI-Virtuosi,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:16.401,24.421,6.039,189.181,1:35.811,6.0,6,4,C. Ilott,UNI-Virtuosi,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:18.244,26.264,1.843,189.03,1:35.636,4.0,7,8,J. Daruvala,Carlin,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:18.281,26.301,0.037,189.027,1:35.147,22.0,8,23,M. Sato,Trident,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:23.405,31.425,5.124,188.606,1:35.927,8.0,9,21,R. Shwartzman,PREMA Racing,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:24.922,32.942,1.517,188.482,1:36.005,6.0,10,22,R. Nissany,Trident,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:26.882,34.902,1.960,188.322,1:35.577,4.0,11,5,M. Armstrong,ART Grand Prix,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:27.020,35.040,0.138,188.31,1:35.993,5.0,12,12,P. Piquet,Charouz Racing System,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:27.234,35.254,0.214,188.293,1:34.671,18.0,13,9,J. Aitken,Campos Racing,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:28.963,36.983,1.729,188.152,1:35.140,19.0,14,14,N. Matsushita,MP Motorsport,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:31.052,39.072,2.089,187.982,1:35.684,4.0,15,15,F. Drugovich,MP Motorsport,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:40.413,48.433,9.361,187.224,1:34.627,19.0,16,10,G. Samaia,Campos Racing,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:40.463,48.483,0.050,187.22,1:33.295,18.0,17,2,D. Ticktum,DAMS,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,38:42.773,50.793,2.310,187.033,1:34.274,23.0,18,24,N. Mazepin,Hitech Grand Prix,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,39:01.629,69.649,18.856,185.527,1:33.376,22.0,19,7,Y. Tsunoda,Carlin,Mugello,Sprint Race,,Round 9 ,2020-09-13
23,39:13.865,81.885,12.236,184.563,1:35.635,3.0,20,16,A. Markelov,BWT HWA RACELAB,Mugello,Sprint Race,,Round 9 ,2020-09-13
33,59:22.869,-,-,174.931,1:34.678,32.0,1,24,N. Mazepin,Hitech Grand Prix,Mugello,Feature Race,,Round 9 ,2020-09-13
33,59:27.329,4.460,4.460,174.712,1:35.059,12.0,2,25,L. Ghiotto,Hitech Grand Prix,Mugello,Feature Race,,Round 9 ,2020-09-13
33,59:27.388,4.519,0.059,174.709,1:33.969,22.0,3,11,L. Delétraz,Charouz Racing System,Mugello,Feature Race,,Round 9 ,2020-09-13
33,59:27.729,4.860,0.341,174.692,1:35.161,32.0,4,15,F. Drugovich,MP Motorsport,Mugello,Feature Race,,Round 9 ,2020-09-13
33,59:28.243,5.374,0.514,174.667,1:34.895,21.0,5,20,M. Schumacher,PREMA Racing,Mugello,Feature Race,,Round 9 ,2020-09-13
33,59:30.694,7.825,2.451,174.547,1:35.135,2.0,6,6,C. Lundgaard,ART Grand Prix,Mugello,Feature Race,,Round 9 ,2020-09-13
33,59:31.222,8.353,0.528,174.522,1:35.664,21.0,7,1,J. Vips,DAMS,Mugello,Feature Race,,Round 9 ,2020-09-13
33,59:33.041,10.172,1.819,174.433,1:35.824,20.0,8,16,A. Markelov,BWT HWA RACELAB,Mugello,Feature Race,,Round 9 ,2020-09-13
33,59:33.303,10.434,0.262,174.42,1:35.130,10.0,9,5,M. Armstrong,ART Grand Prix,Mugello,Feature Race,,Round 9 ,2020-09-13
33,59:33.532,10.663,0.229,174.409,1:34.665,14.0,10,8,J. Daruvala,Carlin,Mugello,Feature Race,,Round 9 ,2020-09-13
33,59:33.969,11.100,0.437,174.387,1:36.353,21.0,11,14,N. Matsushita,MP Motorsport,Mugello,Feature Race,,Round 9 ,2020-09-13
