LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
28,36:41.950,-,-,197.461,1:17.365,6.0,1,1,A. Markelov,RUSSIAN TIME,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,36:47.551,5.600,5.600,196.96,1:17.406,3.0,2,8,G. Russell,ART Grand Prix,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,36:50.493,8.543,2.943,196.698,1:17.912,5.0,3,18,S. Sette Câmara,Carlin,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,36:59.139,17.188,8.645,195.932,1:17.651,3.0,4,21,A. Fuoco,Charouz Racing System,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,36:59.875,17.925,0.737,195.867,1:17.561,4.0,5,5,A. Albon,DAMS,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:04.530,22.580,4.655,195.457,1:17.629,5.0,6,2,T. Makino,RUSSIAN TIME,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:06.538,24.588,2.008,195.281,1:17.826,6.0,7,17,S. Ferrucci,Trident,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:09.236,27.286,2.698,195.044,1:17.765,4.0,8,6,N. Latifi,DAMS,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:09.996,28.046,0.760,194.978,1:17.826,4.0,9,12,N. Fukuzumi,BWT Arden,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:10.615,28.665,0.619,194.924,1:17.599,5.0,10,16,A. Maini,Trident,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:12.140,30.190,1.525,194.791,1:17.440,4.0,11,19,L. Norris,Carlin,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:12.750,30.800,0.610,194.737,1:17.965,5.0,12,11,M. Günther,BWT Arden,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:14.139,32.189,1.389,194.616,1:17.928,6.0,13,14,L. Ghiotto,Campos Vexatec Racing,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:14.903,32.953,0.764,194.55,1:17.985,6.0,14,4,N. de Vries,PERTAMINA PREMA Theodore Racing,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:18.902,36.952,3.999,194.202,1:18.278,4.0,15,10,R. Boschung,MP Motorsport,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:20.845,38.895,1.943,194.034,1:17.735,4.0,16,9,R. Merhi,MP Motorsport,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:26.050,44.100,5.205,193.584,1:17.694,4.0,17,15,R. Nissany,Campos Vexatec Racing,Spielberg,Sprint Race,,Round 6 ,2018-07-01
28,37:26.199,44.249,0.149,193.571,1:17.966,4.0,18,7,J. Aitken,ART Grand Prix,Spielberg,Sprint Race,,Round 6 ,2018-07-01
40,56:16.865,-,-,183.998,1:18.078,14.0,1,8,G. Russell,ART Grand Prix,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:21.995,5.131,5.131,183.719,1:17.540,14.0,2,19,L. Norris,Carlin,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:26.498,9.633,4.502,183.475,1:18.069,39.0,3,21,A. Fuoco,Charouz Racing System,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:28.660,11.796,2.163,183.358,1:18.184,12.0,4,9,R. Merhi,MP Motorsport,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:31.507,14.643,2.847,183.204,1:18.868,40.0,5,5,A. Albon,DAMS,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:33.765,16.900,2.257,183.082,1:18.722,13.0,6,18,S. Sette Câmara,Carlin,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:35.698,18.834,1.934,182.978,1:18.301,12.0,7,2,T. Makino,RUSSIAN TIME,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:41.554,24.690,5.856,182.663,1:17.062,38.0,8,1,A. Markelov,RUSSIAN TIME,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:42.392,25.528,0.838,182.618,1:18.835,12.0,9,12,N. Fukuzumi,BWT Arden,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:43.450,26.585,1.057,182.561,1:19.004,12.0,10,17,S. Ferrucci,Trident,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:44.271,27.406,0.821,182.517,1:19.161,29.0,11,6,N. Latifi,DAMS,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:46.349,29.485,0.332,182.405,1:18.910,14.0,12,14,L. Ghiotto,Campos Vexatec Racing,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:54.000,37.135,7.650,181.997,1:18.257,36.0,13,3,S. Gelael,PERTAMINA PREMA Theodore Racing,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,56:56.219,39.355,2.220,181.878,1:17.713,36.0,14,16,A. Maini,Trident,Spielberg,Feature Race,,Round 6 ,2018-07-01
40,57:06.017,29.153,1.747,182.423,1:18.716,12.0,15,11,M. Günther,BWT Arden,Spielberg,Feature Race,,Round 6 ,2018-07-01
14,1:13.541,-,-,211.375,,,1,8,G. Russell,ART Grand Prix,Spielberg,Qualifying Session,17:24:19,Round 6 ,2018-07-01
14,1:13.779,0.238,0.238,210.694,,,2,19,L. Norris,Carlin,Spielberg,Qualifying Session,17:21:53,Round 6 ,2018-07-01
13,1:13.823,0.282,0.044,210.568,,,3,18,S. Sette Câmara,Carlin,Spielberg,Qualifying Session,17:21:56,Round 6 ,2018-07-01
