,LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,SCHEDULE,TYPE,LAP SET ON,QUALI TYPE
31,27,39:56.838,20.607,1.517,174.92,1:18.398,13.0,13,12,A. Leclerc,DAMS,Spielberg,Round 8 |30-02 July 2023,Sprint Race,,Unique
32,27,39:58.261,22.030,1.423,174.816,1:18.127,22.0,14,5,T. Pourchaire,ART Grand Prix,Spielberg,Round 8 |30-02 July 2023,Sprint Race,,Unique
33,27,39:58.436,22.205,0.175,174.803,1:18.146,11.0,15,15,A. Cordeel,Invicta Virtuosi Racing,Spielberg,Round 8 |30-02 July 2023,Sprint Race,,Unique
34,27,40:12.718,36.48,14.282,173.769,1:17.896,11.0,16,24,K. Maini,Campos Racing,Spielberg,Round 8 |30-02 July 2023,Sprint Race,,Unique
35,27,40:13.127,36.89,0.409,173.739,1:18.341,13.0,17,25,R. Boschung,Campos Racing,Spielberg,Round 8 |30-02 July 2023,Sprint Race,,Unique
36,27,40:37.709,61.478,24.582,171.987,1:17.294,20.0,18,3,Z. Maloney,Carlin,Spielberg,Round 8 |30-02 July 2023,Sprint Race,,Unique
37,14,1:14.643,-,-,208.255,,,1,6,V. Martins,ART Grand Prix,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:19:52,Unique
38,16,1:14.782,0.139,0.139,207.868,,,2,7,F. Vesti,PREMA Racing,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:20:06,Unique
39,14,1:14.813,0.170,0.031,207.782,,,3,5,T. Pourchaire,ART Grand Prix,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:19:55,Unique
40,14,1:14.858,0.215,0.045,207.657,,,4,24,K. Maini,Campos Racing,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:20:00,Unique
41,18,1:14.860,0.217,0.002,207.651,,,5,14,J. Doohan,Invicta Virtuosi Racing,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:23:04,Unique
42,16,1:14.953,0.310,0.093,207.393,,,6,4,E. Fittipaldi,Carlin,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:19:50,Unique
43,14,1:14.987,0.344,0.034,207.299,,,7,15,A. Cordeel,Invicta Virtuosi Racing,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:20:27,Unique
