LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
21,33:31.886,-,-,217.128,1:34.899,3.0,1,8,G. Russell,ART Grand Prix,Monza,Sprint Race,,Round 10 ,2018-09-02
21,33:32.942,1.056,1.056,217.014,1:34.927,3.0,2,1,A. Markelov,RUSSIAN TIME,Monza,Sprint Race,,Round 10 ,2018-09-02
21,33:36.233,4.347,3.291,216.66,1:34.896,4.0,3,18,S. Sette Câmara,Carlin,Monza,Sprint Race,,Round 10 ,2018-09-02
21,33:37.537,5.651,1.304,216.52,1:35.300,3.0,4,6,N. Latifi,DAMS,Monza,Sprint Race,,Round 10 ,2018-09-02
21,33:38.060,6.174,0.523,216.464,1:35.017,4.0,5,19,L. Norris,Carlin,Monza,Sprint Race,,Round 10 ,2018-09-02
21,33:49.338,17.452,11.278,215.261,1:35.502,4.0,6,14,L. Ghiotto,Campos Vexatec Racing,Monza,Sprint Race,,Round 10 ,2018-09-02
21,33:52.637,20.751,3.299,214.912,1:35.737,9.0,7,9,D. Boccolacci,MP Motorsport,Monza,Sprint Race,,Round 10 ,2018-09-02
21,33:56.102,24.216,3.465,214.546,1:35.489,11.0,8,7,J. Aitken,ART Grand Prix,Monza,Sprint Race,,Round 10 ,2018-09-02
21,33:57.074,25.188,0.972,214.444,1:35.886,9.0,9,16,A. Maini,Trident,Monza,Sprint Race,,Round 10 ,2018-09-02
21,34:00.339,28.453,3.265,214.1,1:35.800,5.0,10,21,A. Fuoco,Charouz Racing System,Monza,Sprint Race,,Round 10 ,2018-09-02
21,34:03.761,31.875,3.422,213.742,1:35.845,3.0,11,20,L. Delétraz,Charouz Racing System,Monza,Sprint Race,,Round 10 ,2018-09-02
21,34:06.678,34.792,2.917,213.437,1:35.571,5.0,12,17,A. Lorandi,Trident,Monza,Sprint Race,,Round 10 ,2018-09-02
21,34:10.208,38.323,3.531,213.07,1:35.981,5.0,13,12,N. Fukuzumi,BWT Arden,Monza,Sprint Race,,Round 10 ,2018-09-02
21,34:36.264,64.379,26.056,210.396,1:35.555,21.0,14,2,T. Makino,RUSSIAN TIME,Monza,Sprint Race,,Round 10 ,2018-09-02
21,34:49.666,77.780,13.401,209.046,1:35.812,4.0,15,15,R. Nissany,Campos Vexatec Racing,Monza,Sprint Race,,Round 10 ,2018-09-02
21,34:50.734,78.848,1.068,208.94,1:36.226,8.0,16,11,M. Günther,BWT Arden,Monza,Sprint Race,,Round 10 ,2018-09-02
