LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
21,42:48.729,-,-,163.298,1:58.016,5.0,1,21,A. Fuoco,Charouz Racing System,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,42:50.442,1.713,1.713,163.189,1:57.678,4.0,2,19,L. Norris,Carlin,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,42:52.401,3.672,1.959,163.064,1:57.834,4.0,3,15,R. Merhi,Campos Vexatec Racing,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,42:57.277,8.548,4.876,162.756,1:57.590,5.0,4,8,G. Russell,ART Grand Prix,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,42:58.187,9.458,0.910,162.698,1:57.745,5.0,5,4,N. de Vries,PERTAMINA PREMA Theodore Racing,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,42:59.779,11.050,1.592,162.598,1:57.658,5.0,6,20,L. Delétraz,Charouz Racing System,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,43:01.689,12.960,1.910,162.478,1:57.695,5.0,7,1,A. Markelov,RUSSIAN TIME,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,43:03.776,15.047,2.087,162.347,1:58.138,5.0,8,5,A. Albon,DAMS,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,43:08.375,19.646,4.599,162.058,1:58.109,5.0,9,14,L. Ghiotto,Campos Vexatec Racing,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,43:11.781,23.052,3.406,161.845,1:57.637,5.0,10,18,S. Sette Câmara,Carlin,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,43:13.158,24.429,1.377,161.759,1:58.081,5.0,11,9,D. Boccolacci,MP Motorsport,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,43:16.572,27.843,3.414,161.546,1:58.614,4.0,12,12,N. Fukuzumi,BWT Arden,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,43:19.264,30.535,2.692,161.379,1:58.293,5.0,13,7,J. Aitken,ART Grand Prix,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,43:21.934,33.205,2.670,161.214,1:59.288,5.0,14,17,A. Lorandi,Trident,Yas Island,Sprint Race,,Round 12 ,2018-11-25
21,44:24.743,96.014,62.809,157.414,1:58.205,19.0,15,6,N. Latifi,DAMS,Yas Island,Sprint Race,,Round 12 ,2018-11-25
29,1:03:33.863,-,-,151.925,1:55.039,11.0,1,8,G. Russell,ART Grand Prix,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:03:37.164,3.301,3.301,151.794,1:54.734,12.0,2,1,A. Markelov,RUSSIAN TIME,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:03:42.146,8.283,4.982,151.596,1:53.194,27.0,3,14,L. Ghiotto,Campos Vexatec Racing,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:03:45.909,12.046,3.763,151.447,1:55.137,7.0,4,4,N. de Vries,PERTAMINA PREMA Theodore Racing,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:03:52.913,19.050,7.004,151.17,1:54.492,12.0,5,19,L. Norris,Carlin,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:03:55.827,21.964,2.914,151.055,1:55.946,10.0,6,20,L. Delétraz,Charouz Racing System,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:03:57.496,23.633,1.669,150.99,1:56.633,12.0,7,21,A. Fuoco,Charouz Racing System,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:04:01.238,27.375,3.742,150.842,1:56.711,10.0,8,15,R. Merhi,Campos Vexatec Racing,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:04:01.703,27.840,0.465,150.824,1:56.471,27.0,9,2,T. Makino,RUSSIAN TIME,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:04:06.649,32.786,4.946,150.63,1:56.201,11.0,10,7,J. Aitken,ART Grand Prix,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:04:16.348,42.485,9.699,150.251,1:57.026,14.0,11,11,D. Ticktum,BWT Arden,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:04:20.166,46.303,3.818,150.103,1:55.522,11.0,12,9,D. Boccolacci,MP Motorsport,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:04:21.672,47.809,1.506,150.044,1:55.549,11.0,13,17,A. Lorandi,Trident,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:04:29.434,55.571,7.762,149.743,1:54.038,25.0,14,5,A. Albon,DAMS,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:04:44.053,70.190,14.619,149.18,1:57.489,8.0,15,10,N. Kari,MP Motorsport,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:04:44.629,70.766,0.576,149.158,1:53.303,24.0,16,18,S. Sette Câmara,Carlin,Yas Island,Feature Race,,Round 12 ,2018-11-25
29,1:05:03.834,89.971,19.205,148.424,1:54.391,24.0,17,3,S. Gelael,PERTAMINA PREMA Theodore Racing,Yas Island,Feature Race,,Round 12 ,2018-11-25
