LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
21,39:50.019,-,-,186.139,1:42.202,21.0,1,2,D. Ticktum,DAMS,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,39:50.395,0.376,0.376,186.11,1:41.337,21.0,2,6,C. Lundgaard,ART Grand Prix,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,39:52.716,2.697,2.321,185.929,1:42.344,3.0,3,11,L. Delétraz,Charouz Racing System,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,39:56.276,6.257,3.560,185.653,1:42.200,20.0,4,8,J. Daruvala,Carlin,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,39:56.502,6.483,0.226,185.636,1:42.434,3.0,5,24,N. Mazepin,Hitech Grand Prix,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,39:58.478,8.459,1.976,185.483,1:42.310,3.0,6,15,F. Drugovich,MP Motorsport,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,39:58.975,8.956,0.497,185.444,1:42.718,5.0,7,14,N. Matsushita,MP Motorsport,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,39:59.801,9.782,0.826,185.38,1:42.705,3.0,8,9,J. Aitken,Campos Racing,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,40:00.867,10.848,1.066,185.298,1:42.503,5.0,9,3,G. Zhou,UNI-Virtuosi,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,40:01.014,10.995,0.147,185.287,1:43.326,5.0,10,5,M. Armstrong,ART Grand Prix,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,40:07.436,17.417,6.422,184.792,1:43.805,6.0,11,16,A. Markelov,BWT HWA RACELAB,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,40:08.662,18.643,1.226,184.698,1:42.048,20.0,12,23,M. Sato,Trident,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,40:12.339,22.320,3.677,184.417,1:42.082,21.0,13,21,R. Shwartzman,PREMA Racing,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,40:16.249,26.230,3.910,184.118,1:42.703,4.0,14,20,M. Schumacher,PREMA Racing,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,40:18.550,28.531,2.301,183.943,1:44.129,3.0,15,10,G. Samaia,Campos Racing,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,40:21.993,31.974,3.443,183.682,1:42.489,19.0,16,22,R. Nissany,Trident,Silverstone,Sprint Race,,Round 4 ,2020-08-02
21,40:31.414,41.395,9.421,182.97,1:42.808,4.0,17,12,P. Piquet,Charouz Racing System,Silverstone,Sprint Race,,Round 4 ,2020-08-02
20,40:11.387,1 LAP,1 LAP,175.695,1:42.712,19.0,18,17,G. Alesi,BWT HWA RACELAB,Silverstone,Sprint Race,,Round 4 ,2020-08-02
19,36:40.319,2 LAPS,-,182.91,1:43.198,4.0,19,25,L. Ghiotto,Hitech Grand Prix,Silverstone,Sprint Race,,Round 4 ,2020-08-02
29,51:17.953,-,-,199.658,1:43.663,11.0,1,24,N. Mazepin,Hitech Grand Prix,Silverstone,Feature Race,,Round 4 ,2020-08-02
29,51:23.276,5.323,5.323,199.313,1:42.676,23.0,2,3,G. Zhou,UNI-Virtuosi,Silverstone,Feature Race,,Round 4 ,2020-08-02
29,51:25.359,7.406,2.083,199.178,1:43.365,28.0,3,7,Y. Tsunoda,Carlin,Silverstone,Feature Race,,Round 4 ,2020-08-02
29,51:26.047,8.094,0.688,199.134,1:43.577,11.0,4,6,C. Lundgaard,ART Grand Prix,Silverstone,Feature Race,,Round 4 ,2020-08-02
29,51:28.717,10.764,2.670,198.962,1:43.260,9.0,5,4,C. Ilott,UNI-Virtuosi,Silverstone,Feature Race,,Round 4 ,2020-08-02
29,51:34.074,16.121,5.357,198.617,1:43.811,10.0,6,11,L. Delétraz,Charouz Racing System,Silverstone,Feature Race,,Round 4 ,2020-08-02
29,51:36.089,18.136,2.015,198.488,1:43.457,20.0,7,15,F. Drugovich,MP Motorsport,Silverstone,Feature Race,,Round 4 ,2020-08-02
29,51:38.533,20.580,2.444,198.331,1:44.362,24.0,8,2,D. Ticktum,DAMS,Silverstone,Feature Race,,Round 4 ,2020-08-02
29,51:42.695,24.742,4.162,198.065,1:43.768,10.0,9,20,M. Schumacher,PREMA Racing,Silverstone,Feature Race,,Round 4 ,2020-08-02
29,51:43.272,25.319,0.577,198.029,1:43.082,19.0,10,14,N. Matsushita,MP Motorsport,Silverstone,Feature Race,,Round 4 ,2020-08-02
