LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
28,45:04.725,-,-,163.218,1:33.452,9.0,1,25,L. Ghiotto,Hitech Grand Prix,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:05.148,0.423,0.423,163.192,1:32.098,20.0,2,4,C. Ilott,UNI-Virtuosi,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:16.487,11.762,11.339,162.511,1:32.836,22.0,3,20,M. Schumacher,PREMA Racing,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:18.543,13.818,2.056,162.388,1:31.690,21.0,4,21,R. Shwartzman,PREMA Racing,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:19.877,15.152,1.334,162.309,1:31.520,22.0,5,24,N. Mazepin,Hitech Grand Prix,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:28.176,23.451,8.299,161.815,1:33.221,20.0,6,11,L. Delétraz,Charouz Racing System,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:28.556,23.831,0.380,161.792,1:32.878,17.0,7,8,J. Daruvala,Carlin,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:36.955,32.230,8.399,161.296,1:30.969,22.0,8,3,G. Zhou,UNI-Virtuosi,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:39.000,34.275,2.045,161.175,1:31.817,21.0,9,5,M. Armstrong,ART Grand Prix,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:44.008,39.283,5.008,160.881,1:33.831,7.0,10,17,G. Alesi,BWT HWA RACELAB,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:47.456,42.731,3.448,160.679,1:32.295,22.0,11,14,N. Matsushita,MP Motorsport,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:49.678,44.953,2.222,160.549,1:32.598,17.0,12,1,S. Gelael,DAMS,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:51.651,46.926,1.973,160.434,1:32.388,20.0,13,6,C. Lundgaard,ART Grand Prix,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:56.458,51.733,4.807,160.155,1:32.124,21.0,14,16,A. Markelov,BWT HWA RACELAB,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,45:56.956,52.231,0.498,160.126,1:32.342,18.0,15,12,P. Piquet,Charouz Racing System,Budapest,Sprint Race,,Round 3 ,2020-07-19
28,46:00.615,55.890,3.659,159.913,1:33.574,23.0,16,15,F. Drugovich,MP Motorsport,Budapest,Sprint Race,,Round 3 ,2020-07-19
