LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
28,44:52.900,-,-,163.935,1:30.484,26.0,1,7,N. Matsushita,ART Grand Prix,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,44:57.207,4.307,-,163.673,1:31.087,28.0,2,9,O. Rowland,DAMS,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:00.043,7.143,2.836,163.501,1:31.303,10.0,3,18,N. de Vries,Rapax,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:04.535,11.635,4.492,163.229,1:30.513,9.0,4,1,C. Leclerc,PREMA Racing,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:05.358,12.458,0.823,163.18,1:31.334,12.0,5,20,N. Nato,Pertamina Arden,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:06.385,13.485,1.027,163.118,1:30.909,13.0,6,10,N. Latifi,DAMS,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:09.654,16.754,3.269,162.921,1:31.622,20.0,7,8,A. Albon,ART Grand Prix,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:17.743,24.843,8.089,162.436,1:31.096,10.0,8,5,L. Ghiotto,RUSSIAN TIME,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:18.477,25.577,0.734,162.392,1:29.257,27.0,9,6,A. Markelov,RUSSIAN TIME,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:26.787,33.887,8.310,161.897,1:31.675,9.0,10,21,S. Gelael,Pertamina Arden,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:28.670,35.770,1.883,161.786,1:31.761,15.0,11,15,J. King,MP Motorsport,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:28.723,35.823,0.053,161.782,1:30.274,25.0,12,3,L. Delétraz,Racing Engineering,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:34.747,41.847,6.024,161.426,1:32.094,7.0,13,14,S. Sette Câmara,MP Motorsport,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,45:35.022,42.122,0.275,161.41,1:31.823,9.0,14,17,S. Ferrucci,Trident,Budapest,Sprint Race,,Round 7 ,2017-07-30
28,46:19.847,86.947,44.825,158.807,1:32.040,14.0,15,16,N. Jeffri,Trident,Budapest,Sprint Race,,Round 7 ,2017-07-30
