LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
18,37:13.659,-,-,202.991,2:01.484,2.0,1,6,N. Latifi,DAMS,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:24.061,10.402,10.402,202.05,2:02.440,2.0,2,19,L. Norris,Carlin,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:24.425,10.766,0.364,202.017,2:03.074,3.0,3,5,A. Albon,DAMS,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:26.869,13.210,2.444,201.797,2:02.028,2.0,4,4,N. de Vries,PERTAMINA PREMA Theodore Racing,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:27.107,13.448,0.238,201.776,2:02.410,2.0,5,1,A. Markelov,RUSSIAN TIME,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:35.838,22.179,8.731,200.995,2:02.059,2.0,6,14,L. Ghiotto,Campos Vexatec Racing,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:37.016,23.357,1.178,200.89,2:02.190,2.0,7,8,G. Russell,ART Grand Prix,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:45.523,31.864,8.507,200.136,2:03.729,3.0,8,16,A. Maini,Trident,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:47.237,33.578,1.714,199.984,2:03.214,5.0,9,18,S. Sette Câmara,Carlin,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:48.226,34.567,0.989,199.897,2:04.072,2.0,10,7,J. Aitken,ART Grand Prix,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:53.691,40.032,5.465,199.417,2:04.447,8.0,11,2,T. Makino,RUSSIAN TIME,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:53.759,40.100,0.068,199.411,2:04.666,3.0,12,10,R. Boschung,MP Motorsport,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
18,37:56.558,42.899,2.799,199.165,2:04.366,2.0,13,20,L. Delétraz,Charouz Racing System,Spa-Francorchamps,Sprint Race,,Round 9 ,2018-08-26
