LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
21,44:46.259,-,-,164.314,1:50.501,5.0,1,8,G. Russell,ART Grand Prix,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,44:53.697,7.438,7.438,163.861,1:52.274,5.0,2,18,S. Sette Câmara,Carlin,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,44:54.475,8.216,0.778,163.813,1:52.221,6.0,3,5,A. Albon,DAMS,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,45:05.391,19.132,10.916,163.152,1:52.237,5.0,4,4,N. de Vries,PERTAMINA PREMA Theodore Racing,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,45:08.517,22.258,3.126,162.964,1:52.333,5.0,5,1,A. Markelov,RUSSIAN TIME,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,45:14.037,27.778,5.520,162.633,1:52.561,5.0,6,15,R. Merhi,Campos Vexatec Racing,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,45:17.111,30.852,3.074,162.449,1:52.237,5.0,7,12,N. Fukuzumi,BWT Arden,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,45:21.449,35.190,4.338,162.19,1:53.002,5.0,8,9,D. Boccolacci,MP Motorsport,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,45:26.240,39.981,4.791,161.905,1:52.341,5.0,9,21,A. Fuoco,Charouz Racing System,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,45:33.335,47.076,7.095,161.484,1:53.781,6.0,10,11,M. Günther,BWT Arden,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,45:36.967,50.708,3.632,161.27,1:52.423,5.0,11,2,T. Makino,RUSSIAN TIME,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,45:39.369,53.110,2.402,161.129,1:53.012,5.0,12,3,S. Gelael,PERTAMINA PREMA Theodore Racing,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,45:39.663,53.404,0.294,161.111,1:52.444,5.0,13,20,L. Delétraz,Charouz Racing System,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,45:39.812,53.553,0.149,161.103,1:52.388,5.0,14,14,L. Ghiotto,Campos Vexatec Racing,Sochi,Sprint Race,,Round 11 ,2018-09-30
21,46:28.261,102.002,48.449,158.303,1:53.743,6.0,15,16,A. Maini,Trident,Sochi,Sprint Race,,Round 11 ,2018-09-30
28,54:12.383,-,-,181.024,1:52.007,27.0,1,5,A. Albon,DAMS,Sochi,Feature Race,,Round 11 ,2018-09-30
28,54:23.690,11.307,11.307,180.397,1:51.986,23.0,2,6,N. Latifi,DAMS,Sochi,Feature Race,,Round 11 ,2018-09-30
28,54:26.642,14.259,2.952,180.234,1:51.929,8.0,3,4,N. de Vries,PERTAMINA PREMA Theodore Racing,Sochi,Feature Race,,Round 11 ,2018-09-30
28,54:29.851,17.468,3.209,180.057,1:52.908,8.0,4,8,G. Russell,ART Grand Prix,Sochi,Feature Race,,Round 11 ,2018-09-30
28,54:35.336,22.953,5.485,179.756,1:52.824,10.0,5,18,S. Sette Câmara,Carlin,Sochi,Feature Race,,Round 11 ,2018-09-30
28,54:47.282,34.899,11.946,179.102,1:54.335,18.0,6,21,A. Fuoco,Charouz Racing System,Sochi,Feature Race,,Round 11 ,2018-09-30
28,54:51.516,39.133,4.234,178.872,1:53.770,9.0,7,17,A. Lorandi,Trident,Sochi,Feature Race,,Round 11 ,2018-09-30
28,54:55.846,43.463,4.330,178.637,1:54.405,12.0,8,12,N. Fukuzumi,BWT Arden,Sochi,Feature Race,,Round 11 ,2018-09-30
28,54:58.717,46.334,2.871,178.482,1:53.672,8.0,9,15,R. Merhi,Campos Vexatec Racing,Sochi,Feature Race,,Round 11 ,2018-09-30
28,54:58.844,46.461,0.127,178.475,1:53.326,8.0,10,2,T. Makino,RUSSIAN TIME,Sochi,Feature Race,,Round 11 ,2018-09-30
28,55:05.838,53.455,6.994,178.097,1:53.137,21.0,11,1,A. Markelov,RUSSIAN TIME,Sochi,Feature Race,,Round 11 ,2018-09-30
28,55:08.989,56.606,3.151,177.928,1:53.135,23.0,12,20,L. Delétraz,Charouz Racing System,Sochi,Feature Race,,Round 11 ,2018-09-30
28,55:13.333,60.950,4.344,177.694,1:53.116,21.0,13,9,D. Boccolacci,MP Motorsport,Sochi,Feature Race,,Round 11 ,2018-09-30
28,55:18.905,66.522,5.572,177.396,1:53.938,23.0,14,7,J. Aitken,ART Grand Prix,Sochi,Feature Race,,Round 11 ,2018-09-30
27,55:07.943,1 LAP,1 LAP,171.62,1:51.988,25.0,15,16,A. Maini,Trident,Sochi,Feature Race,,Round 11 ,2018-09-30
26,50:47.058,DNF,-,179.404,1:53.025,22.0,16,11,M. Günther,BWT Arden,Sochi,Feature Race,,Round 11 ,2018-09-30
11,1:46.476,-,-,197.723,,,1,4,N. de Vries,PERTAMINA PREMA Theodore Racing,Sochi,Qualifying Session,17:26:17,Round 11 ,2018-09-30
11,1:46.696,0.220,0.220,197.315,,,2,19,L. Norris,Carlin,Sochi,Qualifying Session,17:30:31,Round 11 ,2018-09-30
12,1:46.839,0.363,0.143,197.051,,,3,8,G. Russell,ART Grand Prix,Sochi,Qualifying Session,17:29:49,Round 11 ,2018-09-30
11,1:46.890,0.414,0.051,196.957,,,4,6,N. Latifi,DAMS,Sochi,Qualifying Session,17:26:29,Round 11 ,2018-09-30
11,1:47.039,0.563,0.149,196.683,,,5,5,A. Albon,DAMS,Sochi,Qualifying Session,17:25:46,Round 11 ,2018-09-30
12,1:47.151,0.675,0.112,196.477,,,6,14,L. Ghiotto,Campos Vexatec Racing,Sochi,Qualifying Session,17:30:28,Round 11 ,2018-09-30
12,1:47.372,0.896,0.221,196.073,,,7,2,T. Makino,RUSSIAN TIME,Sochi,Qualifying Session,17:26:56,Round 11 ,2018-09-30
12,1:47.384,0.908,0.012,196.051,,,8,18,S. Sette Câmara,Carlin,Sochi,Qualifying Session,17:25:29,Round 11 ,2018-09-30
13,1:47.634,1.158,0.250,195.596,,,9,7,J. Aitken,ART Grand Prix,Sochi,Qualifying Session,17:25:24,Round 11 ,2018-09-30
9,1:47.743,1.267,0.109,195.398,,,10,11,M. Günther,BWT Arden,Sochi,Qualifying Session,17:26:09,Round 11 ,2018-09-30
10,1:47.774,1.298,0.031,195.342,,,11,21,A. Fuoco,Charouz Racing System,Sochi,Qualifying Session,17:25:13,Round 11 ,2018-09-30
9,1:47.854,1.378,0.080,195.197,,,12,15,R. Merhi,Campos Vexatec Racing,Sochi,Qualifying Session,17:27:16,Round 11 ,2018-09-30
12,1:48.006,1.530,0.152,194.922,,,13,17,A. Lorandi,Trident,Sochi,Qualifying Session,17:25:42,Round 11 ,2018-09-30
