LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
25,52:16.133,-,-,200.856,2:00.772,11.0,1,3,J. Doohan,Virtuosi Racing,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:18.075,1.942,1.942,200.732,2:01.684,13.0,2,11,F. Drugovich,MP Motorsport,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:24.847,8.714,6.772,200.3,2:01.354,11.0,3,5,L. Lawson,Carlin,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:28.612,12.479,3.765,200.06,2:01.132,18.0,4,20,R. Verschoor,Trident,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:37.399,21.266,8.787,199.503,2:02.126,11.0,5,6,L. Sargeant,Carlin,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:38.498,22.365,1.099,199.434,2:02.143,13.0,6,24,D. Beckmann,Van Amersfoort Racing,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:38.631,22.498,0.133,199.426,2:02.149,19.0,7,17,A. Iwasa,DAMS,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:40.032,23.899,1.401,199.337,2:01.032,16.0,8,8,J. Vips,Hitech Grand Prix,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:40.879,24.746,0.847,199.284,2:01.250,18.0,9,12,C. Novalak,MP Motorsport,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:41.614,2.481,0.735,199.553,2:01.948,11.0,10,22,E. Fittipaldi,Charouz Racing System,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:47.134,31.001,6.255,198.89,2:01.526,10.0,11,9,F. Vesti,ART Grand Prix,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:53.604,37.471,6.470,198.485,2:02.208,13.0,12,1,D. Hauger,PREMA Racing,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:55.889,39.756,2.285,198.342,2:02.528,9.0,13,7,M. Armstrong,Hitech Grand Prix,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:56.816,40.683,0.927,198.284,2:01.477,10.0,14,15,R. Boschung,Campos Racing,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,52:59.851,43.718,3.035,198.095,2:02.669,17.0,15,4,M. Sato,Virtuosi Racing,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,53:01.816,45.683,1.965,197.972,2:03.302,11.0,16,21,C. Williams,Trident,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,53:08.376,52.243,6.560,197.565,2:02.170,19.0,17,25,A. Cordeel,Van Amersfoort Racing,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,53:13.517,57.384,5.141,197.247,2:03.306,11.0,18,23,T. Calderón,Charouz Racing System,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,53:18.960,62.827,5.443,196.911,2:03.475,10.0,19,16,R. Nissany,DAMS,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
25,54:02.491,106.358,43.531,194.268,2:00.677,22.0,20,2,J. Daruvala,PREMA Racing,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
22,46:32.752,DNF,-,198.467,2:03.759,16.0,21,14,L. Zendeli,Campos Racing,Spa-Francorchamps,Feature Race,,Round 11 ,2022-08-28
