LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
33,57:02.908,-,-,183.168,1:39.938,11.0,1,17,A. Iwasa,DAMS,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:03.738,0.830,0.830,183.124,1:39.831,11.0,2,11,F. Drugovich,MP Motorsport,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:04.256,1.348,0.518,183.096,1:39.884,9.0,3,5,L. Lawson,Carlin,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:16.348,13.440,12.092,182.452,1:39.786,11.0,4,1,D. Hauger,PREMA Racing,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:16.972,14.064,0.624,182.418,1:39.818,12.0,5,6,L. Sargeant,Carlin,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:18.627,15.719,1.655,182.331,1:39.485,14.0,6,25,A. Cordeel,Van Amersfoort Racing,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:21.070,18.162,2.443,182.201,1:39.350,25.0,7,20,R. Verschoor,Trident,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:23.187,20.279,2.117,182.089,1:39.771,14.0,8,8,J. Vips,Hitech Grand Prix,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:23.592,20.684,0.405,182.068,1:39.626,24.0,9,7,M. Armstrong,Hitech Grand Prix,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:25.089,22.181,1.497,181.989,1:39.930,12.0,10,16,R. Nissany,DAMS,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:25.640,22.732,0.551,181.96,1:39.910,14.0,11,9,F. Vesti,ART Grand Prix,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:26.397,23.489,0.757,181.92,1:39.146,24.0,12,12,C. Novalak,MP Motorsport,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:27.206,24.298,0.809,181.877,1:39.253,24.0,13,2,J. Daruvala,PREMA Racing,Yas Island,Feature Race,,Round 14 ,2022-11-20
33,57:30.524,27.616,3.318,181.702,1:40.376,33.0,14,22,E. Fittipaldi,Charouz Racing System,Yas Island,Feature Race,,Round 14 ,2022-11-20
