LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
18,42:44.391,-,-,176.811,2:01.124,7.0,1,21,R. Shwartzman,PREMA Racing,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,42:53.416,9.025,9.025,176.191,2:02.655,12.0,2,20,M. Schumacher,PREMA Racing,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,42:55.584,11.193,2.168,176.042,2:02.751,16.0,3,3,G. Zhou,UNI-Virtuosi,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:05.336,20.945,9.752,175.378,2:03.391,7.0,4,24,N. Mazepin,Hitech Grand Prix,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:06.298,21.907,0.962,175.313,2:03.463,7.0,5,25,L. Ghiotto,Hitech Grand Prix,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:09.573,25.182,3.275,175.091,2:03.346,7.0,6,11,L. Delétraz,Charouz Racing System,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:11.187,26.796,1.614,174.982,2:03.321,7.0,7,6,C. Lundgaard,ART Grand Prix,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:14.883,30.492,3.696,174.733,2:03.218,9.0,8,16,A. Markelov,BWT HWA RACELAB,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:14.950,30.559,0.067,174.728,2:03.345,7.0,9,7,Y. Tsunoda,Carlin,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:16.517,32.126,1.567,174.623,2:03.206,8.0,10,2,D. Ticktum,DAMS,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:16.722,32.331,0.205,174.609,2:01.515,8.0,11,1,J. Vips,DAMS,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:17.223,32.832,0.501,174.575,2:03.374,9.0,12,12,P. Piquet,Charouz Racing System,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:17.432,33.041,0.209,174.561,2:03.529,8.0,13,15,F. Drugovich,MP Motorsport,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:17.839,33.448,0.407,174.534,2:03.451,8.0,14,17,G. Alesi,BWT HWA RACELAB,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:19.120,34.729,1.281,174.448,2:03.586,9.0,15,10,G. Samaia,Campos Racing,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,43:28.469,44.078,9.349,173.823,2:03.306,8.0,16,8,J. Daruvala,Carlin,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
18,44:00.695,76.304,32.226,171.702,2:00.884,16.0,17,9,J. Aitken,Campos Racing,Spa-Francorchamps,Sprint Race,,Round 7 ,2020-08-30
25,53:42.538,-,-,195.471,2:02.575,12.0,1,7,Y. Tsunoda,Carlin,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,53:46.968,4.430,-,195.202,2:02.425,12.0,2,24,N. Mazepin,Hitech Grand Prix,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,53:48.177,5.639,1.209,195.129,2:02.660,13.0,3,20,M. Schumacher,PREMA Racing,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,53:52.919,10.381,4.742,194.843,2:02.788,13.0,4,11,L. Delétraz,Charouz Racing System,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,53:56.133,13.595,3.214,194.65,2:01.092,12.0,5,21,R. Shwartzman,PREMA Racing,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,53:58.756,16.218,2.623,194.492,2:01.865,16.0,6,2,D. Ticktum,DAMS,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,53:58.991,16.453,0.235,194.478,2:03.813,24.0,7,3,G. Zhou,UNI-Virtuosi,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,54:03.330,20.792,4.339,194.218,2:02.012,19.0,8,22,R. Nissany,Trident,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,54:06.760,24.222,3.430,194.012,2:03.660,11.0,9,25,L. Ghiotto,Hitech Grand Prix,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,54:08.346,25.808,1.586,193.918,2:02.115,16.0,10,4,C. Ilott,UNI-Virtuosi,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,54:11.415,28.877,3.069,193.735,2:01.506,15.0,11,1,J. Vips,DAMS,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,54:12.314,29.776,0.899,193.681,2:01.884,16.0,12,12,P. Piquet,Charouz Racing System,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,54:19.151,36.613,0.199,193.275,2:02.951,18.0,13,9,J. Aitken,Campos Racing,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,54:21.480,38.942,2.329,193.137,2:03.292,13.0,14,23,M. Sato,Trident,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,54:23.952,41.41,2.472,193.287,2:02.198,16.0,15,5,M. Armstrong,ART Grand Prix,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,54:26.796,44.258,5.316,192.823,2:02.284,14.0,16,16,A. Markelov,BWT HWA RACELAB,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,54:28.589,46.051,1.793,192.717,2:03.003,18.0,17,6,C. Lundgaard,ART Grand Prix,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,54:29.583,47.045,0.994,192.658,2:02.596,15.0,18,17,G. Alesi,BWT HWA RACELAB,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
25,55:15.332,92.794,45.749,190.0,2:01.537,17.0,19,8,J. Daruvala,Carlin,Spa-Francorchamps,Feature Race,,Round 7 ,2020-08-30
10,1:57.593,-,-,214.42,,,1,7,Y. Tsunoda,Carlin,Spa-Francorchamps,Qualifying Session,17:40:51,Round 7 ,2020-08-30
10,1:57.721,0.128,0.128,214.187,,,2,24,N. Mazepin,Hitech Grand Prix,Spa-Francorchamps,Qualifying Session,17:40:33,Round 7 ,2020-08-30
10,1:57.844,0.251,0.123,213.964,,,3,14,N. Matsushita,MP Motorsport,Spa-Francorchamps,Qualifying Session,17:41:17,Round 7 ,2020-08-30
10,1:57.861,0.268,0.017,213.933,,,4,21,R. Shwartzman,PREMA Racing,Spa-Francorchamps,Qualifying Session,17:40:48,Round 7 ,2020-08-30
9,1:58.014,0.421,0.153,213.656,,,5,15,F. Drugovich,MP Motorsport,Spa-Francorchamps,Qualifying Session,17:41:14,Round 7 ,2020-08-30
10,1:58.022,0.429,0.008,213.641,,,6,3,G. Zhou,UNI-Virtuosi,Spa-Francorchamps,Qualifying Session,17:41:03,Round 7 ,2020-08-30
10,1:58.076,0.483,0.054,213.543,,,7,20,M. Schumacher,PREMA Racing,Spa-Francorchamps,Qualifying Session,17:40:54,Round 7 ,2020-08-30
10,1:58.080,0.487,0.004,213.536,,,8,11,L. Delétraz,Charouz Racing System,Spa-Francorchamps,Qualifying Session,17:40:36,Round 7 ,2020-08-30
10,1:58.137,0.544,0.057,213.433,,,9,8,J. Daruvala,Carlin,Spa-Francorchamps,Qualifying Session,17:41:24,Round 7 ,2020-08-30
