LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
5,10:01.184,-,-,173.902,1:52.150,5.0,1,3,G. Zhou,UNI-Virtuosi,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:02.002,0.818,0.818,173.666,1:51.873,5.0,2,24,N. Mazepin,Hitech Grand Prix,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:06.000,4.816,3.998,172.52,1:52.625,5.0,3,20,M. Schumacher,PREMA Racing,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:07.643,6.459,1.643,172.054,1:52.844,5.0,4,9,J. Aitken,Campos Racing,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:08.854,7.670,1.211,171.712,1:52.499,5.0,5,25,L. Ghiotto,Hitech Grand Prix,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:09.466,8.282,0.612,171.539,1:52.506,5.0,6,7,Y. Tsunoda,Carlin,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:10.325,9.141,0.859,171.298,1:52.737,5.0,7,4,C. Ilott,UNI-Virtuosi,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:10.953,9.769,0.628,171.122,1:52.880,5.0,8,2,D. Ticktum,DAMS,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:11.690,10.506,0.737,170.915,1:52.585,5.0,9,12,P. Piquet,Charouz Racing System,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:12.428,11.244,0.738,170.71,1:52.911,5.0,10,21,R. Shwartzman,PREMA Racing,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:13.172,11.988,0.744,170.502,1:52.652,5.0,11,8,J. Daruvala,Carlin,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:13.622,12.438,0.450,170.377,1:53.631,5.0,12,16,A. Markelov,BWT HWA RACELAB,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:14.720,13.536,1.098,170.073,1:53.832,4.0,13,6,C. Lundgaard,ART Grand Prix,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:15.237,14.053,0.517,169.93,1:54.071,4.0,14,5,M. Armstrong,ART Grand Prix,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:15.795,14.611,0.558,169.776,1:53.805,4.0,15,23,M. Sato,Trident,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:16.216,15.032,0.421,169.66,1:53.857,4.0,16,14,G. Alesi,MP Motorsport,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:16.901,15.717,0.685,169.472,1:54.121,4.0,17,11,L. Delétraz,Charouz Racing System,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:18.284,17.100,1.383,169.093,1:53.771,5.0,18,1,J. Vips,DAMS,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:18.941,17.757,0.657,168.913,1:53.666,5.0,19,22,R. Nissany,Trident,Sochi,Sprint Race,,Round 10 ,2020-09-27
5,10:39.186,38.002,20.245,163.563,1:53.988,5.0,20,15,F. Drugovich,MP Motorsport,Sochi,Sprint Race,,Round 10 ,2020-09-27
28,55:02.871,-,-,178.257,1:52.304,28.0,1,20,M. Schumacher,PREMA Racing,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:09.229,6.358,6.358,177.915,1:52.303,25.0,2,7,Y. Tsunoda,Carlin,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:12.353,9.482,3.124,177.747,1:52.593,21.0,3,4,C. Ilott,UNI-Virtuosi,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:12.378,9.507,0.025,177.746,1:52.541,25.0,4,25,L. Ghiotto,Hitech Grand Prix,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:18.096,15.225,5.718,177.439,1:52.521,26.0,5,8,J. Daruvala,Carlin,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:25.054,22.183,6.958,177.068,1:52.197,26.0,6,9,J. Aitken,Campos Racing,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:26.000,23.129,0.946,177.018,1:51.963,22.0,7,24,N. Mazepin,Hitech Grand Prix,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:28.263,25.392,2.263,176.897,1:52.255,20.0,8,3,G. Zhou,UNI-Virtuosi,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:29.811,26.940,1.548,176.815,1:52.540,25.0,9,5,M. Armstrong,ART Grand Prix,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:32.396,29.525,2.585,176.678,1:51.700,28.0,10,2,D. Ticktum,DAMS,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:38.453,35.582,6.057,176.357,1:52.779,14.0,11,21,R. Shwartzman,PREMA Racing,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:40.406,37.535,1.953,176.254,1:53.103,11.0,12,17,J. Hughes,BWT HWA RACELAB,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:49.197,46.326,8.791,175.791,1:52.914,21.0,13,23,M. Sato,Trident,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:50.916,48.045,1.719,175.701,1:53.252,12.0,14,14,G. Alesi,MP Motorsport,Sochi,Feature Race,,Round 10 ,2020-09-27
28,55:54.978,52.107,4.062,175.489,1:52.639,28.0,15,16,A. Markelov,BWT HWA RACELAB,Sochi,Feature Race,,Round 10 ,2020-09-27
28,56:09.877,67.006,14.899,174.713,1:52.784,23.0,16,10,G. Samaia,Campos Racing,Sochi,Feature Race,,Round 10 ,2020-09-27
