LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
33,1:00:30.247,-,-,172.722,1:30.933,33.0,1,11,A. Iwasa,DAMS,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:31.129,0.882,0.882,172.68,1:30.825,33.0,2,5,T. Pourchaire,ART Grand Prix,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:31.731,1.484,0.602,172.652,1:30.815,32.0,3,12,A. Leclerc,DAMS,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:32.062,1.815,0.331,172.636,1:30.712,32.0,4,7,F. Vesti,PREMA Racing,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:35.537,5.290,3.475,172.471,1:31.623,32.0,5,3,Z. Maloney,Carlin,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:37.026,6.779,1.489,172.4,1:31.684,32.0,6,2,J. Daruvala,MP Motorsport,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:37.354,7.107,0.328,172.385,1:31.511,32.0,7,22,R. Verschoor,Van Amersfoort Racing,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:38.011,7.764,0.657,172.354,1:31.568,32.0,8,14,J. Doohan,Invicta Virtuosi Racing,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:38.541,8.294,0.530,172.329,1:30.993,33.0,9,24,K. Maini,Campos Racing,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:41.373,11.126,2.832,172.195,1:32.152,25.0,10,23,J. Correa,Van Amersfoort Racing,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:41.840,11.593,0.467,172.172,1:31.425,32.0,11,21,C. Novalak,Trident,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:44.149,13.902,2.309,172.063,1:31.842,33.0,12,17,B. Benavides,PHM Racing by Charouz,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:44.523,14.276,0.374,172.046,1:31.455,33.0,13,15,A. Cordeel,Invicta Virtuosi Racing,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:46.13,15.89,1.616,171.969,1:32.304,24.0,14,20,R. Stanek,Trident,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:57.54,17.437,1.545,171.897,1:31.610,32.0,15,10,I. Hadjar,Hitech Pulse-Eight,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:54.286,24.039,6.602,171.586,1:33.690,22.0,16,25,R. Boschung,Campos Racing,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:56.98,26.73,2.695,171.46,1:31.300,33.0,17,8,O. Bearman,PREMA Racing,Melbourne,Feature Race,,Round 3 ,2023-04-02
33,1:00:47.546,27.29,0.565,171.433,1:31.706,17.0,18,6,V. Martins,ART Grand Prix,Melbourne,Feature Race,,Round 3 ,2023-04-02
30,56:03.998,DNF,-,169.448,1:31.041,24.0,19,1,D. Hauger,MP Motorsport,Melbourne,Feature Race,,Round 3 ,2023-04-02
22,40:03.429,-,-,173.925,1:31.267,13.0,1,1,D. Hauger,MP Motorsport,Melbourne,Sprint Race,,Round 3 ,2023-04-02
22,40:04.549,1.120,1.120,173.844,1:31.947,11.0,2,9,J. Crawford,Hitech Pulse-Eight,Melbourne,Sprint Race,,Round 3 ,2023-04-02
