LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
26,42:20.450,-,-,171.329,1:35.246,11.0,1,7,N. Matsushita,ART Grand Prix,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:23.759,3.309,-,171.106,1:35.178,9.0,2,9,O. Rowland,DAMS,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:25.071,4.621,1.312,171.018,1:34.811,3.0,3,10,N. Latifi,DAMS,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:29.627,9.177,4.556,170.712,1:35.136,12.0,4,1,C. Leclerc,PREMA Racing,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:35.783,15.333,6.156,170.301,1:35.534,4.0,5,15,J. King,MP Motorsport,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:38.437,17.987,2.654,170.125,1:35.246,3.0,6,4,G. Malja,Racing Engineering,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:38.542,18.092,0.105,170.118,1:35.492,9.0,7,5,L. Ghiotto,RUSSIAN TIME,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:41.585,21.135,3.043,169.915,1:35.096,11.0,8,8,A. Albon,ART Grand Prix,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:42.002,21.552,0.417,169.888,1:35.400,10.0,9,6,A. Markelov,RUSSIAN TIME,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:51.194,30.744,9.192,169.281,1:35.574,8.0,10,19,J. Cecotto,Rapax,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:51.999,31.549,0.805,169.228,1:36.315,9.0,11,17,S. Canamasas,Trident,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:54.884,34.434,2.885,169.038,1:35.765,11.0,12,12,R. Merhi,Campos Racing,Barcelona,Sprint Race,,Round 2 ,2017-05-14
26,42:55.721,35.271,0.837,168.983,1:35.855,4.0,13,20,N. Nato,Pertamina Arden,Barcelona,Sprint Race,,Round 2 ,2017-05-14
