LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
15,1:18:21.329,-,-,67.018,1:52.354,4.0,1,8,L. Ghiotto,UNI-Virtuosi,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:22.041,0.712,0.712,67.008,1:52.381,5.0,2,4,N. de Vries,ART Grand Prix,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:23.001,1.672,0.960,66.994,1:52.532,4.0,3,11,C. Ilott,Sauber Junior Team by Charouz,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:24.712,3.383,1.711,66.97,1:52.272,12.0,4,6,N. Latifi,DAMS,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:25.149,3.820,0.437,66.964,1:52.334,10.0,5,7,G. Zhou,UNI-Virtuosi,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:28.665,7.336,3.516,66.913,1:52.360,12.0,6,5,S. Sette Câmara,DAMS,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:31.672,10.343,3.007,66.871,1:53.051,13.0,7,10,S. Gelael,PREMA Racing,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:34.437,13.108,2.765,66.832,1:52.923,12.0,8,20,G. Alesi,Trident,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:36.180,14.851,1.743,66.807,1:52.834,15.0,9,16,J. King,MP Motorsport,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:38.098,16.769,1.918,66.78,1:52.822,15.0,10,22,A. Markelov,BWT Arden,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:45.227,23.898,7.129,66.679,1:53.077,11.0,11,15,J. Aitken,Campos Racing,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:47.887,26.558,2.660,66.641,1:53.089,7.0,12,21,R. Boschung,Trident,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:48.743,27.414,0.856,66.629,1:53.061,12.0,13,12,M. Isaakyan,Sauber Junior Team by Charouz,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:53.262,31.933,4.519,66.566,1:52.347,12.0,14,1,L. Delétraz,Carlin,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:18:57.801,36.472,4.539,66.502,1:53.849,12.0,15,14,M. Sato,Campos Racing,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:19:04.386,43.057,6.585,66.41,1:54.201,10.0,16,18,T. Calderón,BWT Arden,Sochi,Sprint Race,,Round 11 ,2019-09-29
15,1:19:22.835,61.506,18.449,66.152,1:55.632,9.0,17,17,M. Raghunathan,MP Motorsport,Sochi,Sprint Race,,Round 11 ,2019-09-29
28,54:12.087,-,-,181.041,1:52.174,25.0,1,4,N. de Vries,ART Grand Prix,Sochi,Feature Race,,Round 11 ,2019-09-29
28,54:17.005,4.918,4.918,180.767,1:52.069,23.0,2,6,N. Latifi,DAMS,Sochi,Feature Race,,Round 11 ,2019-09-29
28,54:18.082,5.995,1.077,180.708,1:51.844,24.0,3,1,L. Delétraz,Carlin,Sochi,Feature Race,,Round 11 ,2019-09-29
28,54:19.694,7.607,1.612,180.618,1:51.104,26.0,4,8,L. Ghiotto,UNI-Virtuosi,Sochi,Feature Race,,Round 11 ,2019-09-29
28,54:23.465,11.378,3.771,180.41,1:51.620,26.0,5,5,S. Sette Câmara,DAMS,Sochi,Feature Race,,Round 11 ,2019-09-29
28,54:32.451,20.364,8.986,179.914,1:51.185,25.0,6,2,N. Matsushita,Carlin,Sochi,Feature Race,,Round 11 ,2019-09-29
28,54:39.490,27.403,7.039,179.528,1:52.548,24.0,7,15,J. Aitken,Campos Racing,Sochi,Feature Race,,Round 11 ,2019-09-29
