LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
21,36:15.140,-,-,204.528,1:42.130,3.0,1,7,Y. Tsunoda,Carlin,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:18.260,3.120,3.120,204.235,1:41.887,3.0,2,20,M. Schumacher,PREMA Racing,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:33.133,17.993,14.873,202.85,1:42.095,3.0,3,9,J. Aitken,Campos Racing,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:35.398,20.258,2.265,202.64,1:42.297,4.0,4,11,L. Delétraz,Charouz Racing System,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:36.199,21.059,0.801,202.566,1:41.991,4.0,5,3,G. Zhou,UNI-Virtuosi,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:37.294,22.154,1.095,202.465,1:42.505,3.0,6,4,C. Ilott,UNI-Virtuosi,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:38.053,22.913,0.759,202.396,1:42.810,6.0,7,2,D. Ticktum,DAMS,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:40.341,25.201,2.288,202.185,1:42.371,3.0,8,24,N. Mazepin,Hitech Grand Prix,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:43.812,28.672,3.471,201.867,1:42.872,3.0,9,8,J. Daruvala,Carlin,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:44.206,29.066,0.394,201.831,1:42.989,7.0,10,25,L. Ghiotto,Hitech Grand Prix,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:48.826,33.686,4.620,201.408,1:43.001,7.0,11,16,A. Markelov,BWT HWA RACELAB,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:49.916,34.776,1.090,201.309,1:43.034,6.0,12,15,F. Drugovich,MP Motorsport,Silverstone,Sprint Race,,Round 5 ,2020-08-09
21,36:51.502,36.362,1.586,201.165,1:41.976,3.0,13,21,R. Shwartzman,PREMA Racing,Silverstone,Sprint Race,,Round 5 ,2020-08-09
