LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
30,44:23.388,-,-,135.314,1:24.280,6.0,1,19,A. Hubert,BWT Arden,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:23.447,0.059,0.059,135.311,1:24.387,10.0,2,1,L. Delétraz,Carlin,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:24.310,0.922,0.863,135.268,1:24.436,10.0,3,7,G. Zhou,UNI-Virtuosi,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:25.847,2.459,1.537,135.19,1:24.368,10.0,4,16,A. Markelov,MP Motorsport,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:37.077,13.689,11.230,134.622,1:25.141,18.0,5,14,D. Boccolacci,Campos Racing,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:39.710,16.322,2.633,134.49,1:25.032,16.0,6,5,S. Sette Câmara,DAMS,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:40.340,16.952,0.630,134.459,1:25.223,16.0,7,4,N. de Vries,ART Grand Prix,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:40.725,17.337,0.385,134.439,1:25.332,17.0,8,3,N. Mazepin,ART Grand Prix,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:42.158,18.770,1.433,134.367,1:25.361,27.0,9,2,N. Matsushita,Carlin,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:42.723,19.335,0.565,134.339,1:23.868,30.0,10,6,N. Latifi,DAMS,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:44.947,21.559,2.224,134.228,1:24.708,24.0,11,9,M. Schumacher,PREMA Racing,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:46.027,22.639,1.080,134.174,1:25.143,18.0,12,12,J. Correa,Sauber Junior Team by Charouz,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:46.672,23.284,0.645,134.142,1:25.237,26.0,13,15,J. Aitken,Campos Racing,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
30,44:48.201,24.813,1.529,134.065,1:24.410,25.0,14,11,C. Ilott,Sauber Junior Team by Charouz,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
29,44:27.053,1 LAP,1 LAP,130.624,1:23.318,27.0,15,10,S. Gelael,PREMA Racing,Monte Carlo,Sprint Race,,Round 4 ,2019-05-25
41,1:30:56.153,-,-,90.272,1:22.280,28.0,1,4,N. de Vries,ART Grand Prix,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
41,1:31:00.199,4.046,0.997,90.205,1:22.243,38.0,2,2,N. Matsushita,Carlin,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
41,1:31:01.623,5.470,1.424,90.182,1:23.142,25.0,3,5,S. Sette Câmara,DAMS,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
41,1:31:05.273,9.120,3.650,90.121,1:23.032,38.0,4,14,D. Boccolacci,Campos Racing,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
41,1:31:58.701,62.548,53.428,89.249,1:24.736,25.0,5,7,G. Zhou,UNI-Virtuosi,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
40,1:31:02.154,1 LAP,1 LAP,87.974,1:23.394,24.0,6,16,A. Markelov,MP Motorsport,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
40,1:31:19.126,1 LAP,16.972,87.701,1:24.449,23.0,7,1,L. Delétraz,Carlin,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
40,1:31:31.567,1 LAP,12.441,87.502,1:24.718,23.0,8,19,A. Hubert,BWT Arden,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
40,1:31:37.408,1 LAP,5.841,87.409,1:24.715,24.0,9,21,R. Boschung,Trident,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
40,1:31:37.519,1 LAP,0.111,87.408,1:25.419,36.0,10,3,N. Mazepin,ART Grand Prix,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
40,1:31:38.584,1 LAP,1.065,87.391,1:25.759,27.0,11,20,G. Alesi,Trident,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
40,1:31:39.247,1 LAP,0.663,87.38,1:24.068,18.0,12,6,N. Latifi,DAMS,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
40,1:31:42.849,1 LAP,3.602,87.323,1:24.185,25.0,13,9,M. Schumacher,PREMA Racing,Monte Carlo,Feature Race,,Round 4 ,2019-05-25
