LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
21,37:09.802,-,-,199.514,1:44.484,13.0,1,11,M. Günther,BWT Arden,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:10.323,0.520,0.520,199.467,1:43.731,12.0,2,8,G. Russell,ART Grand Prix,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:12.307,2.504,1.984,199.29,1:44.134,14.0,3,19,L. Norris,Carlin,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:19.727,9.924,7.420,198.63,1:44.434,12.0,4,1,A. Markelov,RUSSIAN TIME,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:21.807,12.005,2.081,198.445,1:44.626,2.0,5,20,L. Delétraz,Charouz Racing System,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:23.732,13.929,0.878,198.275,1:44.701,10.0,6,4,N. de Vries,PERTAMINA PREMA Theodore Racing,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:23.809,14.006,0.077,198.268,1:44.967,17.0,7,5,A. Albon,DAMS,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:24.487,14.684,0.678,198.208,1:44.880,17.0,8,10,R. Boschung,MP Motorsport,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:26.290,16.487,1.803,198.049,1:45.043,14.0,9,9,R. Merhi,MP Motorsport,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:27.853,13.051,1.046,198.353,1:44.625,4.0,10,14,L. Ghiotto,Campos Vexatec Racing,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:29.435,19.632,3.145,197.772,1:44.457,21.0,11,2,T. Makino,RUSSIAN TIME,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:33.455,23.653,4.021,197.42,1:45.218,12.0,12,7,J. Aitken,ART Grand Prix,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:33.843,24.040,0.387,197.386,1:44.603,17.0,13,16,A. Maini,Trident,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:41.968,32.165,4.447,196.677,1:45.064,13.0,14,15,R. Nissany,Campos Vexatec Racing,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:43.121,33.318,1.153,196.576,1:45.304,14.0,15,3,S. Gelael,PERTAMINA PREMA Theodore Racing,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:43.845,34.042,0.724,196.513,1:45.558,14.0,16,6,N. Latifi,DAMS,Silverstone,Sprint Race,,Round 7 ,2018-07-08
21,37:57.715,47.912,13.870,195.317,1:43.318,14.0,17,18,S. Sette Câmara,Carlin,Silverstone,Sprint Race,,Round 7 ,2018-07-08
29,52:04.519,-,-,196.682,1:44.873,28.0,1,5,A. Albon,DAMS,Silverstone,Feature Race,,Round 7 ,2018-07-08
29,52:14.302,9.783,9.783,196.068,1:44.448,28.0,2,8,G. Russell,ART Grand Prix,Silverstone,Feature Race,,Round 7 ,2018-07-08
29,52:23.026,18.507,8.724,195.524,1:44.710,29.0,3,21,A. Fuoco,Charouz Racing System,Silverstone,Feature Race,,Round 7 ,2018-07-08
29,52:31.208,26.689,8.182,195.016,1:45.753,25.0,4,20,L. Delétraz,Charouz Racing System,Silverstone,Feature Race,,Round 7 ,2018-07-08
